,Binary_Class,Search Date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake,toilet paper,stimulus,vaccines near me,vaccine side effects,how to get my taste back,anti-depressant,mental health,can dogs get covid,doritos locos tacos,best hikes near me,tiktok,jeff bezos net worth,what is ivermectin,what is mrna,bill gates population control,ubereats,instacart jobs,gig economy,stimmy,trump,biden,china,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
364,High,2021-02-14,27.0,73.0,31.0,32.0,56.0,8.0,63.0,22.0,5.0,5.0,4.0,26.0,3.0,10.0,30.0,25.0,4.0,19.0,39.0,8.0,51.0,11.0,19.0,78.0,11.0,19.0,58.0,36.0,58.0,33.0,20.0,49.0,19.0,65.0,57.0,15.0,12.0,46.0,35.0,17.0,57.0,48.0,68.0,44.0,4.0,1.0,21.0,42.0,1.0,9.0,40.0,31.0,15.0,21.0,31.0,8.0,1.0,47.0,15.0,13.0,4.0,23.0,26.0,79.0,8.0,8.0,1.0,16.0,4.0,23.0,62208817.0,591203.0,68232.29,102833.0
365,High,2021-02-13,38.0,68.0,24.0,34.0,54.0,9.0,66.0,25.0,5.0,0.0,4.0,30.0,6.0,11.0,26.0,26.0,4.0,13.0,37.0,7.0,46.0,6.0,22.0,79.0,12.0,19.0,51.0,23.0,74.0,24.0,20.0,50.0,23.0,72.0,57.0,10.0,16.0,41.0,38.0,21.0,59.0,46.0,59.0,45.0,5.0,1.0,22.0,42.0,1.0,11.0,41.0,39.0,51.0,64.0,35.0,12.0,1.0,19.0,14.0,15.0,6.0,22.0,5.0,68.0,11.0,5.0,2.0,20.0,5.0,24.0,61617614.0,1471414.0,70826.29,107369.0
366,High,2021-02-12,39.0,78.0,58.0,24.0,66.0,8.0,65.0,25.0,5.0,0.0,0.0,49.0,5.0,11.0,55.0,21.0,6.0,18.0,34.0,13.0,76.0,11.0,24.0,72.0,19.0,18.0,50.0,25.0,68.0,26.0,22.0,48.0,21.0,71.0,57.0,12.0,15.0,46.0,33.0,24.0,56.0,49.0,62.0,45.0,5.0,1.0,22.0,44.0,1.0,13.0,58.0,40.0,14.0,39.0,52.0,11.0,5.0,9.0,14.0,14.0,9.0,45.0,14.0,63.0,12.0,5.0,2.0,9.0,5.0,25.0,60146200.0,2581404.0,72839.14,129580.0
367,High,2021-02-11,32.0,85.0,22.0,26.0,73.0,12.0,61.0,25.0,6.0,0.0,8.0,45.0,4.0,11.0,63.0,22.0,6.0,28.0,34.0,15.0,48.0,9.0,24.0,79.0,27.0,21.0,54.0,23.0,61.0,24.0,22.0,43.0,16.0,67.0,63.0,23.0,25.0,43.0,49.0,21.0,54.0,55.0,69.0,43.0,6.0,1.0,20.0,43.0,1.0,13.0,57.0,39.0,18.0,0.0,62.0,15.0,5.0,4.0,15.0,11.0,5.0,56.0,0.0,66.0,13.0,8.0,3.0,9.0,4.0,24.0,57564796.0,2402801.0,74892.86,131937.0
368,High,2021-02-10,34.0,92.0,41.0,31.0,74.0,10.0,66.0,26.0,6.0,13.0,4.0,51.0,3.0,12.0,38.0,22.0,5.0,28.0,35.0,17.0,52.0,10.0,24.0,88.0,30.0,22.0,55.0,25.0,59.0,30.0,24.0,45.0,17.0,65.0,60.0,26.0,32.0,44.0,44.0,20.0,49.0,54.0,74.0,50.0,6.0,2.0,21.0,41.0,1.0,14.0,56.0,39.0,28.0,19.0,63.0,8.0,4.0,22.0,14.0,9.0,7.0,59.0,14.0,57.0,14.0,9.0,2.0,10.0,4.0,22.0,55161995.0,2300779.0,76935.14,138101.0
369,High,2021-02-09,42.0,88.0,29.0,24.0,73.0,8.0,67.0,28.0,8.0,5.0,8.0,40.0,5.0,12.0,51.0,24.0,4.0,6.0,32.0,16.0,54.0,12.0,23.0,89.0,24.0,24.0,54.0,30.0,62.0,32.0,21.0,47.0,16.0,68.0,65.0,23.0,29.0,43.0,41.0,19.0,48.0,57.0,82.0,51.0,7.0,2.0,21.0,40.0,1.0,16.0,59.0,31.0,28.0,20.0,63.0,16.0,2.0,18.0,14.0,14.0,5.0,47.0,10.0,67.0,28.0,7.0,4.0,9.0,5.0,22.0,52861216.0,1971283.0,78963.43,129433.0
370,High,2021-02-08,40.0,82.0,30.0,29.0,68.0,10.0,61.0,27.0,6.0,9.0,4.0,44.0,3.0,10.0,48.0,23.0,4.0,33.0,43.0,14.0,59.0,13.0,25.0,77.0,18.0,27.0,50.0,16.0,61.0,30.0,21.0,47.0,17.0,69.0,61.0,26.0,31.0,43.0,48.0,23.0,46.0,59.0,78.0,50.0,6.0,2.0,22.0,40.0,1.0,15.0,46.0,25.0,4.0,0.0,56.0,11.0,3.0,21.0,14.0,17.0,9.0,43.0,5.0,53.0,18.0,11.0,2.0,7.0,5.0,20.0,50889933.0,1576249.0,80843.71,132614.0
371,High,2021-02-07,34.0,70.0,34.0,34.0,57.0,9.0,66.0,30.0,5.0,24.0,25.0,23.0,6.0,8.0,47.0,26.0,4.0,0.0,42.0,7.0,61.0,12.0,21.0,71.0,11.0,24.0,57.0,18.0,68.0,46.0,22.0,66.0,15.0,63.0,58.0,24.0,24.0,54.0,61.0,18.0,64.0,47.0,100.0,43.0,7.0,1.0,20.0,39.0,1.0,13.0,28.0,31.0,20.0,0.0,36.0,10.0,4.0,28.0,16.0,13.0,7.0,35.0,5.0,63.0,12.0,7.0,2.0,6.0,6.0,22.0,49313684.0,443403.0,82764.71,110960.0
372,High,2021-02-06,28.0,81.0,28.0,35.0,56.0,11.0,66.0,28.0,6.0,5.0,9.0,53.0,5.0,11.0,42.0,26.0,4.0,25.0,52.0,6.0,47.0,8.0,22.0,81.0,12.0,22.0,45.0,17.0,80.0,36.0,22.0,57.0,19.0,71.0,58.0,12.0,15.0,48.0,43.0,22.0,74.0,49.0,57.0,43.0,7.0,1.0,26.0,39.0,1.0,18.0,29.0,42.0,36.0,0.0,39.0,12.0,2.0,24.0,16.0,17.0,9.0,21.0,5.0,48.0,6.0,4.0,3.0,6.0,6.0,24.0,48870281.0,1298406.0,84654.71,123893.0
373,High,2021-02-05,41.0,86.0,45.0,32.0,70.0,9.0,66.0,26.0,6.0,5.0,8.0,40.0,5.0,12.0,33.0,27.0,5.0,40.0,38.0,15.0,53.0,10.0,27.0,75.0,20.0,24.0,53.0,36.0,72.0,28.0,23.0,51.0,22.0,70.0,59.0,16.0,14.0,43.0,37.0,20.0,57.0,50.0,60.0,47.0,7.0,1.0,23.0,45.0,1.0,21.0,41.0,40.0,47.0,0.0,53.0,11.0,2.0,22.0,14.0,17.0,8.0,54.0,5.0,62.0,16.0,8.0,2.0,6.0,7.0,24.0,47571875.0,2352054.0,86526.57,146221.0
374,High,2021-02-04,30.0,85.0,47.0,28.0,72.0,11.0,66.0,27.0,7.0,5.0,4.0,36.0,4.0,14.0,66.0,25.0,5.0,28.0,33.0,16.0,42.0,10.0,27.0,89.0,24.0,24.0,46.0,30.0,68.0,34.0,23.0,47.0,17.0,69.0,60.0,28.0,38.0,46.0,40.0,19.0,58.0,49.0,78.0,51.0,9.0,2.0,23.0,41.0,1.0,15.0,43.0,39.0,28.0,0.0,57.0,12.0,2.0,9.0,14.0,30.0,7.0,65.0,5.0,54.0,19.0,7.0,1.0,6.0,6.0,24.0,45219821.0,2342654.0,88477.43,151090.0
375,High,2021-02-03,33.0,88.0,38.0,29.0,71.0,10.0,70.0,27.0,6.0,5.0,0.0,33.0,4.0,14.0,68.0,24.0,5.0,28.0,34.0,17.0,41.0,13.0,28.0,88.0,24.0,26.0,68.0,21.0,66.0,32.0,23.0,45.0,17.0,70.0,63.0,26.0,33.0,44.0,49.0,18.0,68.0,58.0,73.0,52.0,11.0,2.0,21.0,41.0,1.0,15.0,53.0,37.0,28.0,19.0,63.0,17.0,1.0,4.0,15.0,73.0,11.0,48.0,14.0,54.0,22.0,6.0,3.0,6.0,7.0,23.0,42877167.0,2135058.0,90638.43,145808.0
376,High,2021-11-22,38.0,85.0,48.0,29.0,60.0,18.0,60.0,31.0,13.0,0.0,9.0,53.0,11.0,9.0,59.0,17.0,3.0,37.0,31.0,14.0,49.0,4.0,22.0,69.0,10.0,20.0,50.0,14.0,61.0,77.0,25.0,43.0,28.0,71.0,71.0,15.0,19.0,44.0,37.0,24.0,68.0,47.0,66.0,41.0,10.0,1.0,23.0,38.0,1.0,1.0,22.0,11.0,20.0,21.0,66.0,18.0,2.0,19.0,12.0,5.0,11.0,40.0,5.0,48.0,20.0,6.0,0.0,2.0,2.0,21.0,461017691.0,1790655.0,44445.29,179359.0
377,High,2021-10-23,34.0,75.0,27.0,37.0,51.0,15.0,50.0,27.0,8.0,22.0,24.0,40.0,9.0,6.0,46.0,14.0,2.0,21.0,32.0,8.0,65.0,3.0,22.0,63.0,5.0,15.0,69.0,20.0,74.0,62.0,25.0,43.0,21.0,69.0,60.0,11.0,20.0,49.0,35.0,26.0,65.0,49.0,56.0,42.0,10.0,1.0,24.0,42.0,1.0,1.0,17.0,13.0,29.0,0.0,38.0,9.0,4.0,53.0,14.0,9.0,14.0,18.0,6.0,55.0,8.0,0.0,0.0,3.0,3.0,26.0,419246683.0,822609.0,48364.57,187268.0
378,High,2021-09-22,37.0,89.0,27.0,26.0,69.0,16.0,51.0,31.0,8.0,10.0,8.0,48.0,13.0,9.0,51.0,14.0,3.0,12.0,31.0,15.0,42.0,4.0,22.0,63.0,12.0,26.0,70.0,13.0,56.0,53.0,25.0,38.0,16.0,68.0,64.0,18.0,27.0,45.0,44.0,18.0,68.0,53.0,71.0,48.0,22.0,2.0,20.0,44.0,2.0,2.0,16.0,19.0,39.0,20.0,72.0,14.0,0.0,32.0,12.0,9.0,40.0,33.0,10.0,51.0,16.0,14.0,1.0,2.0,3.0,43.0,393007805.0,660828.0,83029.71,192614.0
379,High,2021-08-23,35.0,85.0,43.0,27.0,53.0,14.0,60.0,33.0,7.0,5.0,4.0,47.0,29.0,9.0,46.0,13.0,5.0,30.0,33.0,13.0,43.0,8.0,23.0,76.0,10.0,45.0,74.0,21.0,68.0,28.0,32.0,39.0,15.0,59.0,60.0,13.0,18.0,49.0,41.0,14.0,59.0,61.0,66.0,50.0,61.0,3.0,24.0,58.0,1.0,2.0,40.0,30.0,92.0,0.0,58.0,21.0,3.0,5.0,12.0,9.0,55.0,38.0,15.0,45.0,20.0,5.0,0.0,3.0,3.0,28.0,370643439.0,918429.0,89158.29,183638.0
380,High,2021-07-23,45.0,78.0,30.0,26.0,49.0,13.0,55.0,28.0,5.0,0.0,5.0,55.0,12.0,8.0,51.0,12.0,3.0,21.0,32.0,13.0,48.0,5.0,23.0,70.0,8.0,23.0,70.0,17.0,65.0,68.0,28.0,48.0,22.0,61.0,55.0,8.0,5.0,49.0,100.0,11.0,57.0,62.0,58.0,35.0,13.0,1.0,29.0,79.0,1.0,3.0,29.0,23.0,28.0,0.0,41.0,8.0,22.0,37.0,13.0,32.0,17.0,17.0,6.0,42.0,16.0,8.0,0.0,2.0,3.0,24.0,348719810.0,747403.0,25419.57,224866.0
381,High,2021-06-22,41.0,86.0,16.0,24.0,57.0,14.0,62.0,24.0,5.0,9.0,0.0,38.0,10.0,13.0,34.0,15.0,2.0,24.0,32.0,13.0,63.0,6.0,26.0,73.0,11.0,10.0,66.0,12.0,56.0,66.0,28.0,42.0,18.0,62.0,63.0,15.0,11.0,52.0,43.0,15.0,69.0,64.0,67.0,37.0,11.0,1.0,25.0,67.0,1.0,3.0,16.0,16.0,24.0,0.0,57.0,4.0,1.0,27.0,15.0,13.0,10.0,13.0,0.0,52.0,19.0,5.0,2.0,2.0,2.0,25.0,332376720.0,753791.0,12577.43,187439.0
382,High,2021-05-23,40.0,71.0,51.0,37.0,56.0,12.0,65.0,26.0,3.0,10.0,0.0,17.0,11.0,6.0,58.0,13.0,2.0,7.0,33.0,9.0,75.0,8.0,26.0,64.0,7.0,12.0,76.0,23.0,62.0,51.0,29.0,44.0,19.0,69.0,60.0,16.0,26.0,52.0,35.0,16.0,50.0,63.0,67.0,41.0,5.0,1.0,25.0,67.0,1.0,3.0,17.0,27.0,0.0,0.0,39.0,6.0,1.0,20.0,14.0,9.0,9.0,10.0,11.0,56.0,11.0,5.0,1.0,2.0,2.0,66.0,303707720.0,656563.0,23659.57,157861.0
383,High,2021-04-22,43.0,89.0,36.0,32.0,72.0,9.0,62.0,30.0,5.0,5.0,16.0,46.0,7.0,11.0,53.0,18.0,3.0,18.0,29.0,16.0,67.0,10.0,27.0,73.0,15.0,18.0,57.0,19.0,63.0,43.0,25.0,40.0,21.0,67.0,84.0,26.0,30.0,48.0,43.0,18.0,77.0,58.0,70.0,47.0,6.0,1.0,21.0,50.0,1.0,6.0,25.0,56.0,14.0,0.0,63.0,13.0,1.0,14.0,13.0,7.0,5.0,59.0,14.0,42.0,14.0,8.0,2.0,2.0,3.0,32.0,240882591.0,3479108.0,39180.86,180679.0
384,High,2021-03-23,37.0,90.0,22.0,28.0,68.0,10.0,66.0,25.0,5.0,0.0,4.0,42.0,6.0,15.0,56.0,20.0,4.0,28.0,30.0,16.0,50.0,14.0,28.0,70.0,17.0,21.0,53.0,26.0,69.0,33.0,23.0,41.0,18.0,66.0,63.0,22.0,47.0,46.0,38.0,14.0,50.0,56.0,75.0,45.0,3.0,1.0,21.0,46.0,1.0,21.0,75.0,53.0,28.0,0.0,61.0,14.0,0.0,34.0,12.0,7.0,5.0,40.0,9.0,54.0,17.0,7.0,20.0,4.0,5.0,22.0,145960106.0,3061711.0,33292.29,162645.0
385,High,2021-02-20,44.0,80.0,18.0,34.0,60.0,9.0,71.0,25.0,5.0,0.0,13.0,31.0,3.0,10.0,50.0,27.0,4.0,7.0,41.0,10.0,57.0,7.0,23.0,85.0,12.0,18.0,67.0,28.0,78.0,29.0,42.0,52.0,21.0,75.0,56.0,14.0,15.0,44.0,37.0,20.0,61.0,53.0,62.0,42.0,4.0,1.0,25.0,52.0,1.0,11.0,31.0,33.0,32.0,0.0,37.0,9.0,6.0,34.0,16.0,12.0,2.0,21.0,32.0,64.0,8.0,11.0,1.0,4.0,4.0,24.0,72090374.0,1304153.0,58020.29,144724.0
386,High,2021-01-23,27.0,72.0,48.0,37.0,53.0,11.0,68.0,26.0,6.0,25.0,13.0,23.0,3.0,10.0,48.0,32.0,6.0,43.0,54.0,7.0,68.0,8.0,24.0,76.0,11.0,30.0,46.0,30.0,78.0,27.0,23.0,57.0,21.0,72.0,58.0,12.0,25.0,44.0,42.0,14.0,59.0,49.0,59.0,45.0,8.0,2.0,28.0,42.0,1.0,13.0,37.0,33.0,30.0,21.0,33.0,25.0,2.0,33.0,14.0,16.0,9.0,13.0,10.0,60.0,18.0,6.0,2.0,16.0,23.0,24.0,26970272.0,906038.0,113910.0,125375.0
387,High,2020-12-23,32.0,69.0,31.0,32.0,49.0,15.0,58.0,31.0,10.0,10.0,9.0,36.0,4.0,8.0,45.0,21.0,8.0,18.0,37.0,10.0,39.0,9.0,20.0,71.0,14.0,48.0,54.0,26.0,63.0,31.0,20.0,42.0,34.0,50.0,66.0,21.0,9.0,39.0,26.0,12.0,59.0,43.0,53.0,35.0,9.0,1.0,21.0,35.0,1.0,42.0,5.0,28.0,55.0,0.0,36.0,34.0,1.0,5.0,11.0,26.0,11.0,21.0,10.0,62.0,10.0,5.0,2.0,23.0,3.0,24.0,2619831.0,574444.0,112047.86,153218.0
388,High,2021-01-21,31.0,88.0,28.0,31.0,66.0,10.0,61.0,27.0,6.0,9.0,8.0,38.0,6.0,13.0,40.0,26.0,6.0,22.0,32.0,15.0,38.0,13.0,23.0,78.0,23.0,32.0,72.0,30.0,60.0,31.0,23.0,49.0,17.0,68.0,59.0,22.0,38.0,43.0,39.0,13.0,49.0,48.0,74.0,53.0,9.0,2.0,21.0,40.0,1.0,16.0,40.0,38.0,68.0,38.0,56.0,16.0,0.0,4.0,12.0,15.0,8.0,52.0,9.0,56.0,21.0,12.0,3.0,33.0,53.0,25.0,24438421.0,1628538.0,117446.14,147337.0
389,High,2021-01-20,38.0,85.0,21.0,24.0,64.0,9.0,63.0,28.0,6.0,13.0,12.0,50.0,3.0,14.0,37.0,34.0,5.0,28.0,33.0,13.0,38.0,13.0,23.0,76.0,23.0,32.0,50.0,32.0,63.0,36.0,23.0,54.0,16.0,68.0,65.0,25.0,30.0,40.0,37.0,12.0,56.0,55.0,70.0,52.0,9.0,1.0,25.0,38.0,1.0,13.0,37.0,36.0,63.0,19.0,53.0,17.0,3.0,4.0,12.0,13.0,6.0,52.0,0.0,53.0,21.0,5.0,3.0,64.0,65.0,26.0,22809883.0,1600378.0,120193.71,142017.0
390,High,2021-01-19,33.0,88.0,34.0,30.0,67.0,9.0,64.0,29.0,6.0,9.0,24.0,42.0,4.0,11.0,59.0,29.0,6.0,34.0,38.0,16.0,42.0,15.0,26.0,83.0,24.0,34.0,63.0,23.0,60.0,30.0,23.0,55.0,15.0,64.0,60.0,23.0,33.0,40.0,35.0,15.0,61.0,48.0,67.0,49.0,9.0,1.0,20.0,36.0,1.0,13.0,55.0,38.0,18.0,0.0,58.0,22.0,4.0,13.0,13.0,10.0,13.0,48.0,9.0,47.0,20.0,5.0,2.0,25.0,15.0,23.0,21209505.0,1344694.0,121513.0,138651.0
391,High,2021-01-18,34.0,82.0,36.0,36.0,61.0,10.0,64.0,29.0,7.0,0.0,4.0,31.0,5.0,7.0,43.0,28.0,6.0,24.0,38.0,10.0,52.0,14.0,23.0,75.0,12.0,37.0,71.0,25.0,59.0,34.0,21.0,47.0,17.0,71.0,64.0,23.0,37.0,43.0,33.0,14.0,53.0,55.0,75.0,51.0,9.0,1.0,22.0,41.0,1.0,12.0,49.0,29.0,33.0,0.0,43.0,20.0,1.0,40.0,13.0,13.0,9.0,25.0,20.0,53.0,26.0,7.0,1.0,17.0,8.0,23.0,19864811.0,883525.0,122596.57,137202.0
392,High,2021-01-17,29.0,72.0,47.0,34.0,51.0,11.0,64.0,26.0,6.0,10.0,25.0,29.0,1.0,7.0,38.0,32.0,5.0,18.0,46.0,8.0,67.0,13.0,21.0,67.0,11.0,36.0,58.0,22.0,81.0,35.0,21.0,53.0,18.0,71.0,61.0,15.0,18.0,44.0,31.0,12.0,65.0,49.0,67.0,51.0,10.0,1.0,25.0,44.0,1.0,11.0,29.0,29.0,84.0,0.0,33.0,23.0,4.0,56.0,14.0,13.0,6.0,21.0,20.0,60.0,19.0,5.0,1.0,17.0,7.0,25.0,18981286.0,304579.0,123595.57,124504.0
393,High,2021-01-16,29.0,70.0,61.0,40.0,51.0,12.0,65.0,28.0,6.0,5.0,9.0,26.0,3.0,7.0,24.0,31.0,5.0,6.0,47.0,8.0,59.0,8.0,21.0,75.0,11.0,34.0,57.0,41.0,85.0,27.0,22.0,53.0,23.0,78.0,58.0,11.0,11.0,50.0,33.0,16.0,61.0,47.0,59.0,49.0,9.0,1.0,27.0,41.0,1.0,14.0,27.0,38.0,30.0,0.0,32.0,27.0,4.0,61.0,14.0,18.0,8.0,20.0,20.0,61.0,12.0,3.0,3.0,18.0,6.0,25.0,18676707.0,648484.0,124402.0,126077.0
394,High,2021-01-15,27.0,78.0,22.0,28.0,60.0,12.0,63.0,27.0,6.0,13.0,28.0,45.0,3.0,12.0,34.0,29.0,6.0,67.0,40.0,14.0,61.0,11.0,23.0,76.0,18.0,33.0,64.0,30.0,73.0,24.0,21.0,48.0,19.0,71.0,60.0,11.0,17.0,41.0,31.0,16.0,60.0,47.0,58.0,50.0,9.0,1.0,27.0,44.0,1.0,21.0,48.0,41.0,28.0,0.0,52.0,28.0,2.0,21.0,13.0,13.0,13.0,60.0,19.0,57.0,13.0,5.0,7.0,20.0,11.0,24.0,18028223.0,1255208.0,125129.71,143574.0
395,High,2021-01-14,36.0,87.0,38.0,23.0,64.0,14.0,66.0,28.0,8.0,0.0,20.0,57.0,2.0,9.0,46.0,27.0,7.0,11.0,41.0,16.0,64.0,13.0,26.0,70.0,24.0,35.0,61.0,33.0,67.0,34.0,22.0,47.0,20.0,69.0,65.0,22.0,32.0,41.0,36.0,14.0,69.0,48.0,70.0,67.0,9.0,1.0,23.0,40.0,1.0,18.0,64.0,44.0,32.0,19.0,56.0,33.0,1.0,17.0,12.0,17.0,3.0,61.0,9.0,48.0,18.0,7.0,4.0,32.0,8.0,24.0,16773015.0,1314788.0,125683.0,152648.0
396,High,2021-01-13,35.0,87.0,60.0,30.0,67.0,13.0,65.0,30.0,8.0,0.0,20.0,24.0,1.0,8.0,42.0,28.0,7.0,23.0,36.0,16.0,59.0,11.0,26.0,77.0,24.0,38.0,62.0,21.0,63.0,33.0,22.0,47.0,17.0,67.0,66.0,20.0,37.0,43.0,35.0,15.0,56.0,48.0,72.0,57.0,9.0,1.0,21.0,39.0,1.0,15.0,45.0,40.0,51.0,0.0,53.0,32.0,3.0,9.0,12.0,19.0,9.0,47.0,5.0,57.0,18.0,10.0,3.0,40.0,4.0,24.0,15458227.0,1322184.0,125016.0,151105.0
397,High,2021-01-12,30.0,83.0,43.0,28.0,64.0,11.0,63.0,30.0,8.0,13.0,12.0,41.0,2.0,11.0,52.0,29.0,7.0,17.0,36.0,15.0,57.0,12.0,27.0,75.0,24.0,38.0,53.0,24.0,62.0,28.0,23.0,45.0,15.0,70.0,65.0,20.0,37.0,42.0,35.0,14.0,54.0,49.0,75.0,51.0,8.0,1.0,22.0,39.0,1.0,16.0,37.0,37.0,18.0,0.0,53.0,33.0,1.0,17.0,12.0,19.0,5.0,40.0,0.0,43.0,22.0,6.0,4.0,33.0,4.0,25.0,14136043.0,1256981.0,125448.14,139964.0
398,High,2021-01-11,32.0,85.0,39.0,26.0,60.0,13.0,64.0,27.0,8.0,0.0,16.0,26.0,3.0,12.0,38.0,27.0,7.0,44.0,36.0,14.0,57.0,14.0,25.0,71.0,21.0,40.0,75.0,28.0,75.0,33.0,23.0,47.0,17.0,67.0,63.0,21.0,32.0,40.0,41.0,15.0,59.0,54.0,70.0,51.0,9.0,1.0,23.0,37.0,1.0,16.0,36.0,28.0,53.0,0.0,52.0,25.0,3.0,4.0,12.0,17.0,9.0,37.0,0.0,48.0,18.0,11.0,4.0,36.0,5.0,25.0,12879062.0,1069385.0,125693.43,135168.0
399,High,2021-01-10,30.0,69.0,40.0,32.0,53.0,12.0,68.0,29.0,7.0,19.0,8.0,6.0,2.0,7.0,40.0,31.0,6.0,18.0,46.0,7.0,56.0,12.0,20.0,65.0,11.0,38.0,74.0,35.0,70.0,30.0,28.0,49.0,14.0,66.0,60.0,16.0,33.0,42.0,30.0,16.0,75.0,53.0,62.0,46.0,7.0,1.0,21.0,38.0,1.0,12.0,19.0,27.0,44.0,0.0,26.0,22.0,1.0,37.0,13.0,26.0,11.0,28.0,5.0,56.0,21.0,2.0,5.0,33.0,5.0,26.0,11809677.0,250747.0,125678.0,132867.0
400,High,2021-01-09,29.0,77.0,30.0,30.0,48.0,12.0,62.0,28.0,8.0,15.0,0.0,16.0,2.0,8.0,43.0,30.0,6.0,0.0,46.0,9.0,47.0,8.0,22.0,81.0,11.0,37.0,52.0,50.0,79.0,30.0,37.0,51.0,20.0,71.0,58.0,11.0,16.0,39.0,29.0,17.0,43.0,46.0,54.0,41.0,8.0,1.0,23.0,40.0,1.0,18.0,25.0,34.0,65.0,0.0,32.0,29.0,4.0,37.0,13.0,41.0,9.0,26.0,0.0,65.0,13.0,2.0,11.0,45.0,6.0,28.0,11558930.0,508417.0,125525.0,133933.0
401,High,2021-01-08,36.0,78.0,25.0,26.0,57.0,11.0,60.0,30.0,9.0,9.0,4.0,24.0,1.0,11.0,31.0,25.0,7.0,17.0,47.0,16.0,48.0,12.0,24.0,66.0,17.0,41.0,51.0,41.0,74.0,25.0,36.0,49.0,20.0,66.0,61.0,10.0,28.0,39.0,24.0,19.0,63.0,47.0,53.0,42.0,9.0,1.0,26.0,40.0,1.0,26.0,19.0,37.0,41.0,0.0,48.0,22.0,1.0,4.0,12.0,83.0,9.0,32.0,0.0,66.0,21.0,7.0,20.0,45.0,7.0,26.0,11050513.0,1235051.0,124998.57,139866.0
402,High,2021-01-07,30.0,84.0,52.0,20.0,59.0,13.0,57.0,30.0,8.0,4.0,4.0,38.0,3.0,13.0,29.0,23.0,6.0,22.0,35.0,14.0,33.0,12.0,22.0,75.0,21.0,39.0,70.0,31.0,65.0,27.0,20.0,45.0,16.0,64.0,63.0,21.0,62.0,41.0,32.0,18.0,69.0,52.0,66.0,47.0,10.0,1.0,21.0,39.0,1.0,30.0,19.0,32.0,67.0,0.0,50.0,32.0,3.0,17.0,12.0,92.0,14.0,31.0,18.0,46.0,16.0,9.0,50.0,71.0,11.0,23.0,9815462.0,1168732.0,124047.57,141572.0
403,High,2021-01-06,40.0,76.0,27.0,28.0,57.0,12.0,58.0,29.0,8.0,9.0,12.0,14.0,3.0,12.0,34.0,27.0,7.0,54.0,31.0,17.0,39.0,11.0,26.0,73.0,19.0,40.0,52.0,32.0,69.0,23.0,20.0,41.0,14.0,60.0,64.0,19.0,100.0,39.0,35.0,18.0,46.0,54.0,62.0,45.0,10.0,1.0,20.0,35.0,1.0,42.0,20.0,30.0,62.0,0.0,46.0,24.0,4.0,29.0,11.0,20.0,9.0,32.0,5.0,45.0,23.0,8.0,8.0,50.0,9.0,23.0,8646730.0,1019791.0,123306.14,138576.0
404,High,2021-01-05,42.0,85.0,40.0,28.0,63.0,14.0,63.0,32.0,10.0,18.0,23.0,44.0,2.0,12.0,49.0,31.0,7.0,38.0,32.0,20.0,43.0,17.0,25.0,73.0,21.0,43.0,62.0,25.0,60.0,32.0,22.0,45.0,17.0,59.0,61.0,19.0,38.0,40.0,29.0,20.0,70.0,52.0,63.0,42.0,11.0,1.0,20.0,34.0,1.0,51.0,26.0,31.0,54.0,19.0,51.0,35.0,4.0,8.0,12.0,21.0,18.0,35.0,28.0,46.0,18.0,4.0,9.0,17.0,3.0,23.0,7626939.0,830222.0,122506.0,138303.0
405,High,2021-01-04,32.0,88.0,76.0,34.0,60.0,15.0,62.0,31.0,10.0,4.0,4.0,26.0,3.0,11.0,48.0,36.0,9.0,27.0,34.0,17.0,39.0,19.0,28.0,73.0,17.0,46.0,52.0,26.0,67.0,29.0,21.0,46.0,16.0,67.0,65.0,26.0,32.0,41.0,32.0,16.0,57.0,48.0,69.0,51.0,15.0,1.0,21.0,38.0,1.0,47.0,26.0,23.0,45.0,19.0,49.0,29.0,3.0,21.0,12.0,18.0,13.0,23.0,14.0,56.0,16.0,5.0,10.0,17.0,3.0,22.0,6796717.0,656327.0,121668.0,137935.0
406,High,2021-01-03,35.0,84.0,58.0,38.0,53.0,12.0,62.0,33.0,9.0,29.0,22.0,26.0,2.0,7.0,39.0,46.0,7.0,18.0,44.0,6.0,47.0,16.0,22.0,74.0,11.0,47.0,74.0,27.0,75.0,28.0,22.0,45.0,15.0,67.0,61.0,19.0,33.0,44.0,30.0,16.0,57.0,44.0,63.0,41.0,12.0,1.0,24.0,39.0,2.0,23.0,17.0,20.0,100.0,0.0,30.0,38.0,1.0,47.0,13.0,21.0,6.0,15.0,15.0,56.0,11.0,7.0,8.0,13.0,3.0,26.0,6140390.0,138561.0,120837.43,130037.0
