,Binary_Class,Search Date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake,toilet paper,stimulus,vaccines near me,vaccine side effects,how to get my taste back,anti-depressant,mental health,can dogs get covid,doritos locos tacos,best hikes near me,tiktok,jeff bezos net worth,what is ivermectin,what is mrna,bill gates population control,ubereats,instacart jobs,gig economy,stimmy,trump,biden,china,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
34,High,2022-01-10,29.0,79.0,52.0,26.0,56.0,26.0,59.0,49.0,21.0,19.0,8.0,34.0,12.0,8.0,40.0,20.0,13.0,41.0,28.0,17.0,45.0,4.0,23.0,61.0,11.0,62.0,77.0,11.0,61.0,25.0,26.0,46.0,15.0,64.0,67.0,20.0,25.0,45.0,45.0,17.0,57.0,61.0,74.0,54.0,21.0,1.0,27.0,42.0,1.0,2.0,16.0,10.0,57.0,20.0,58.0,67.0,5.0,18.0,12.0,7.0,16.0,15.0,15.0,50.0,20.0,4.0,1.0,2.0,1.0,24.0,525847249.0,1223275.0,127159.14,163573.0
35,High,2022-01-09,39.0,74.0,47.0,34.0,50.0,30.0,87.0,52.0,23.0,10.0,5.0,14.0,10.0,6.0,44.0,26.0,12.0,33.0,34.0,13.0,56.0,2.0,24.0,70.0,7.0,64.0,65.0,11.0,63.0,28.0,26.0,47.0,16.0,58.0,60.0,13.0,21.0,45.0,36.0,18.0,57.0,49.0,63.0,53.0,18.0,1.0,24.0,41.0,1.0,1.0,18.0,10.0,64.0,0.0,34.0,85.0,7.0,50.0,16.0,8.0,36.0,14.0,28.0,60.0,18.0,3.0,1.0,2.0,2.0,24.0,524623974.0,485993.0,122474.71,148810.0
36,High,2022-01-08,27.0,71.0,67.0,37.0,49.0,30.0,65.0,53.0,24.0,11.0,9.0,32.0,13.0,4.0,53.0,22.0,13.0,27.0,32.0,15.0,59.0,2.0,24.0,68.0,7.0,56.0,58.0,11.0,81.0,19.0,26.0,50.0,20.0,67.0,57.0,9.0,17.0,44.0,38.0,19.0,57.0,46.0,58.0,46.0,20.0,1.0,30.0,43.0,1.0,1.0,23.0,13.0,61.0,23.0,35.0,87.0,2.0,26.0,15.0,12.0,24.0,13.0,6.0,58.0,25.0,6.0,2.0,2.0,2.0,24.0,524137981.0,1020920.0,117712.57,156230.0
37,High,2022-01-07,31.0,76.0,28.0,24.0,55.0,29.0,62.0,53.0,26.0,5.0,9.0,43.0,17.0,11.0,40.0,20.0,13.0,56.0,33.0,19.0,48.0,4.0,23.0,65.0,11.0,56.0,57.0,33.0,71.0,27.0,25.0,48.0,20.0,63.0,63.0,10.0,6.0,46.0,37.0,21.0,81.0,45.0,61.0,53.0,22.0,2.0,31.0,44.0,1.0,1.0,29.0,13.0,76.0,0.0,58.0,81.0,8.0,5.0,14.0,11.0,33.0,28.0,0.0,54.0,17.0,5.0,0.0,3.0,2.0,22.0,523117061.0,1593219.0,112625.43,167800.0
38,Low,2022-01-06,40.0,85.0,81.0,26.0,58.0,31.0,55.0,55.0,29.0,10.0,8.0,45.0,11.0,7.0,45.0,21.0,15.0,25.0,31.0,25.0,60.0,3.0,25.0,75.0,12.0,59.0,62.0,13.0,58.0,26.0,25.0,45.0,16.0,59.0,63.0,14.0,17.0,46.0,37.0,17.0,59.0,47.0,68.0,54.0,21.0,2.0,29.0,44.0,1.0,2.0,28.0,14.0,85.0,62.0,57.0,98.0,1.0,5.0,13.0,9.0,22.0,23.0,5.0,60.0,20.0,6.0,0.0,3.0,3.0,22.0,521523842.0,1420816.0,107367.57,168443.0
39,High,2022-01-05,25.0,82.0,33.0,21.0,56.0,30.0,62.0,57.0,35.0,5.0,17.0,45.0,12.0,11.0,49.0,22.0,16.0,60.0,29.0,22.0,59.0,5.0,28.0,74.0,12.0,71.0,62.0,14.0,55.0,34.0,24.0,42.0,17.0,59.0,68.0,16.0,20.0,47.0,40.0,17.0,72.0,49.0,71.0,56.0,22.0,2.0,24.0,41.0,1.0,2.0,31.0,13.0,29.0,0.0,60.0,100.0,2.0,9.0,13.0,10.0,20.0,22.0,10.0,40.0,20.0,6.0,1.0,2.0,2.0,22.0,520103026.0,1408832.0,102234.43,164358.0
40,High,2022-01-04,43.0,84.0,41.0,21.0,59.0,34.0,64.0,60.0,33.0,5.0,9.0,43.0,10.0,10.0,43.0,25.0,16.0,50.0,28.0,25.0,53.0,4.0,26.0,67.0,11.0,83.0,78.0,24.0,55.0,27.0,23.0,42.0,16.0,58.0,68.0,20.0,22.0,47.0,40.0,17.0,49.0,47.0,71.0,59.0,22.0,2.0,27.0,43.0,1.0,2.0,30.0,12.0,40.0,21.0,60.0,85.0,5.0,5.0,13.0,11.0,27.0,27.0,5.0,48.0,15.0,3.0,0.0,2.0,2.0,22.0,518694194.0,1380119.0,97256.29,168913.0
41,High,2022-01-03,32.0,80.0,44.0,27.0,51.0,36.0,57.0,54.0,30.0,10.0,4.0,36.0,13.0,9.0,43.0,26.0,18.0,55.0,28.0,18.0,55.0,3.0,24.0,64.0,9.0,86.0,72.0,20.0,58.0,23.0,23.0,45.0,16.0,56.0,65.0,14.0,14.0,45.0,36.0,18.0,60.0,47.0,61.0,58.0,22.0,2.0,27.0,43.0,1.0,2.0,29.0,8.0,50.0,0.0,60.0,70.0,3.0,5.0,13.0,10.0,25.0,19.0,10.0,48.0,22.0,4.0,1.0,2.0,1.0,22.0,517314075.0,1210295.0,92304.0,161499.0
42,High,2022-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,High,2022-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
