,Multi_Class,Search Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
30,1699-5000,2022-01-14,204.01,204.73,-0.72,10114400.0,168.63,167.84,0.79,5847700.0,195.56,196.0,-0.44,2861700.0,"35,996.43","35,911.81",84.62,"389,200,000",54.98,54.95,0.03,27060000.0,531059158.0,1423160.0,141419.86,180672.0
31,550-1698,2022-01-13,219.56,210.17,9.39,7405700.0,169.0,168.76,0.24,6159400.0,217.09,202.99,14.1,2252700.0,"36,312.49","36,113.62",198.87,"343,640,000",56.53,55.54,0.99,28117900.0,529635998.0,1247228.0,138678.14,185403.0
32,1699-5000,2022-01-12,220.48,222.89,-2.41,5846600.0,169.61,169.79,-0.18,8116200.0,216.78,220.87,-4.09,1806600.0,"36,336.16","36,290.32",45.84,"310,180,000",56.34,56.65,-0.31,27608500.0,528388770.0,1269908.0,135394.57,181070.0
33,1699-5000,2022-01-11,226.0,221.39,4.61,7331200.0,172.99,171.25,1.74,8341100.0,222.93,215.8,7.13,2614100.0,"36,058.85","36,252.02",-193.17,"356,850,000",56.75,56.69,0.06,33576600.0,527118862.0,1271613.0,131504.29,170750.0
34,1699-5000,2022-01-10,211.37,233.7,-22.33,17191500.0,173.69,173.09,0.6,7698400.0,204.45,230.0,-25.55,3737700.0,"36,175.21","36,068.87",106.34,"430,680,000",55.71,56.24,-0.53,34044700.0,525847249.0,1223275.0,127159.14,163573.0
35,1699-5000,2022-01-09,,,,,,,,,,,,,,,,,,,,,,,,
36,1699-5000,2022-01-08,,,,,,,,,,,,,,,,,,,,,,,,
37,1699-5000,2022-01-07,216.41,213.86,2.55,5275700.0,171.46,173.95,-2.49,6984900.0,213.7,211.84,1.86,1200600.0,"36,249.59","36,231.66",17.93,"356,110,000",55.36,55.72,-0.36,27686700.0,523117061.0,1593219.0,112625.43,167800.0
38,550-1698,2022-01-06,216.04,216.06,-0.02,8173000.0,172.15,171.63,0.52,7301600.0,214.48,214.74,-0.26,2753800.0,"36,409.05","36,236.47",172.58,"385,890,000",55.16,54.84,0.32,37000400.0,521523842.0,1420816.0,107367.57,168443.0
39,1699-5000,2022-01-05,232.1,215.23,16.87,9042200.0,172.0,172.22,-0.22,7016100.0,230.47,211.43,19.04,3098300.0,"36,722.60","36,407.11",315.49,"462,040,000",55.84,55.63,0.21,52956400.0,520103026.0,1408832.0,102234.43,164358.0
40,1699-5000,2022-01-04,232.2,233.06,-0.86,10455000.0,171.06,171.08,-0.02,6748400.0,231.81,224.09,7.72,3403800.0,"36,636.00","36,799.65",-163.65,"435,080,000",56.22,54.53,1.69,66993100.0,518694194.0,1380119.0,97256.29,168913.0
41,1699-5000,2022-01-03,247.12,235.05,12.07,11860900.0,170.21,171.54,-1.33,6012200.0,253.87,231.85,22.02,3776400.0,"36,321.59","36,585.06",-263.47,"347,930,000",58.5,56.65,1.85,57219200.0,517314075.0,1210295.0,92304.0,161499.0
42,1699-5000,2022-11-21,,,,,,,,,,,,,,,,,,,,,,,,
43,1699-5000,2022-10-22,,,,,,,,,,,,,,,,,,,,,,,,
44,1699-5000,2022-09-21,,,,,,,,,,,,,,,,,,,,,,,,
45,550-1698,2022-08-22,,,,,,,,,,,,,,,,,,,,,,,,
46,550-1698,2022-07-22,,,,,,,,,,,,,,,,,,,,,,,,
47,1699-5000,2022-06-21,,,,,,,,,,,,,,,,,,,,,,,,
48,1699-5000,2022-05-22,,,,,,,,,,,,,,,,,,,,,,,,
