,Unnamed: 0,Date,Multi_Class,Search Date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake,toilet paper,stimulus,vaccines near me,vaccine side effects,how to get my taste back,anti-depressant,mental health,can dogs get covid,doritos locos tacos,best hikes near me,tiktok,jeff bezos net worth,what is ivermectin,what is mrna,bill gates population control,ubereats,instacart jobs,gig economy,stimmy,trump,biden,china,Current Hospitalized COVID-19 Patients,Total Doses Administered,Daily Increase,Number of Flights,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,AZN_Open,AZN_Close,AZN_Difference,AZN_Volume, NVAX_Open , NVAX_Close ,NVAX_Difference,NVAX_Volume
20,20,2022-02-03,1699-5000,2022-01-24,40,85,36,21,65,18,67,37,11,10,13,86,12,8,51,33,6,42,33,19,41,4,25,61,12,31.0,73.0,24.0,61.0,27.0,26.0,57.0,15.0,65.0,65.0,24.0,24.0,46.0,48.0,17.0,68.0,56.0,78.0,55.0,16.0,1.0,24.0,43.0,1,2,11,7,29,0,65,30,3,19,13,8,23,24,5,47,27,5,0,2,3,23,145872.43,544616938.0,490815.0,149649.0,165.07,163.95,1.12,4490400.0,172.26,172.76,-0.5,6240400.0,172.35,175.02,-2.67,1405300.0,"35,520.08","35,111.16",408.92,"381,020,000",53.33,53.38,-0.05,22635800.0,57.58,57.33,0.25,6987000.0,88.79,88.49,0.3,4248500.0
21,21,2022-02-02,1699-5000,2022-01-23,29,71,42,27,49,20,93,37,11,0,5,22,13,6,48,27,6,7,33,10,55,2,24,67,7,32.0,64.0,18.0,67.0,23.0,23.0,50.0,16.0,67.0,63.0,20.0,26.0,62.0,44.0,16.0,77.0,51.0,72.0,51.0,15.0,1.0,23.0,42.0,1,1,9,6,45,46,37,45,2,11,15,6,15,15,0,53,20,2,1,2,2,24,146760.0,544126123.0,537816.0,152315.0,170.81,169.61,1.2,5395000.0,169.65,172.77,-3.12,7382800.0,181.0,180.15,0.85,1823300.0,"35,378.19","35,629.33",-251.14,"359,540,000",52.84,53.86,-1.02,32039300.0,57.69,59.01,-1.32,9509100.0,93.29,89.44,3.85,6012200.0
22,22,2022-02-01,1699-5000,2022-01-22,32,75,35,32,52,24,67,38,12,6,5,30,18,6,64,32,6,21,33,11,54,2,25,66,7,32.0,46.0,13.0,88.0,19.0,25.0,59.0,21.0,68.0,57.0,10.0,13.0,46.0,41.0,19.0,79.0,48.0,56.0,49.0,17.0,1.0,27.0,42.0,1,1,13,8,17,0,38,46,0,32,15,7,25,18,0,63,20,4,1,2,2,24,147503.71,543588307.0,575091.0,163738.0,175.2,172.74,2.46,7329800.0,171.74,170.88,0.86,8154700.0,182.18,179.6,2.58,1933300.0,"35,151.47","35,405.24",-253.77,"386,080,000",52.74,53.07,-0.33,27883300.0,57.35,57.68,-0.33,13729700.0,97.45,95.18,2.27,7176500.0
23,23,2022-01-31,1699-5000,2022-01-21,27,75,39,22,59,18,65,37,13,0,4,37,21,8,47,51,7,25,28,15,52,3,27,69,11,34.0,59.0,36.0,67.0,20.0,25.0,49.0,19.0,65.0,60.0,11.0,11.0,45.0,28.0,21.0,56.0,49.0,59.0,44.0,18.0,1.0,30.0,46.0,1,1,24,10,31,22,59,44,5,15,13,9,22,32,11,56,16,2,1,2,3,23,148047.29,543013216.0,601694.0,168218.0,160.05,169.33,-9.28,9292600.0,171.5,172.29,-0.79,8054800.0,166.0,172.08,-6.08,1860200.0,"34,691.17","35,131.86",-440.69,"468,070,000",54.0,52.69,1.31,38644600.0,58.02,58.21,-0.19,6690200.0,87.3,93.7,-6.4,10415700.0
24,24,2022-01-30,550-1698,2022-01-20,39,82,42,22,67,21,60,41,17,5,4,43,26,8,41,44,7,23,28,21,56,6,25,72,13,39.0,66.0,20.0,60.0,24.0,24.0,48.0,16.0,63.0,65.0,19.0,26.0,45.0,41.0,18.0,54.0,54.0,69.0,53.0,17.0,1.0,22.0,42.0,1,1,17,11,29,39,70,37,3,14,13,5,21,26,15,52,19,3,0,3,4,22,148315.57,542411522.0,254772.0,164940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,2022-01-29,1699-5000,2022-01-19,41,85,63,24,63,23,63,45,15,10,8,41,18,8,46,21,8,24,29,20,45,4,24,68,13,42.0,57.0,20.0,67.0,23.0,25.0,45.0,16.0,65.0,66.0,20.0,39.0,45.0,35.0,16.0,49.0,51.0,70.0,59.0,18.0,1.0,22.0,40.0,1,1,19,11,34,41,66,62,2,23,13,4,33,31,10,53,22,6,0,2,3,22,148081.43,542156750.0,449149.0,153674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,2022-01-28,1699-5000,2022-01-18,39,79,50,21,57,25,69,47,18,10,4,42,9,7,56,21,9,18,28,20,52,4,24,71,13,45.0,63.0,11.0,56.0,27.0,23.0,44.0,14.0,63.0,67.0,21.0,28.0,45.0,41.0,17.0,82.0,52.0,76.0,51.0,22.0,2.0,22.0,41.0,1,1,16,8,59,20,64,54,3,0,13,7,33,19,5,51,19,5,1,2,2,22,147406.29,541707601.0,908902.0,180749.0,149.95,159.47,-9.52,6756200.0,170.86,171.79,-0.93,9783100.0,154.0,162.22,-8.22,1432400.0,"34,135.24","34,725.47",-590.23,"568,440,000",53.77,54.33,-0.56,28590400.0,58.85,59.3,-0.45,5038700.0,75.41,82.92,-7.51,7771600.0
27,27,2022-01-27,1699-5000,2022-01-17,34,75,38,32,51,25,66,45,16,5,9,33,12,6,57,22,9,25,29,15,60,3,25,65,8,49.0,56.0,20.0,67.0,29.0,24.0,44.0,15.0,62.0,63.0,17.0,28.0,47.0,37.0,17.0,59.0,51.0,68.0,52.0,21.0,1.0,23.0,41.0,1,1,10,7,40,43,47,42,1,24,16,5,15,15,5,57,18,6,2,2,2,22,146411.14,540798699.0,751105.0,184883.0,157.43,148.62,8.81,8661700.0,169.39,170.59,-1.2,9066700.0,161.93,154.54,7.39,2477500.0,"34,261.75","34,160.78",100.97,"527,780,000",53.02,53.37,-0.35,36957200.0,58.02,59.52,-1.5,10104700.0,81.23,72.92,8.31,4553100.0
28,28,2022-01-26,1699-5000,2022-01-16,32,66,40,33,48,25,77,46,16,11,5,35,14,11,47,21,7,7,38,10,48,2,24,61,7,46.0,75.0,20.0,73.0,27.0,24.0,51.0,19.0,63.0,60.0,11.0,13.0,55.0,38.0,18.0,68.0,46.0,62.0,46.0,17.0,1.0,29.0,43.0,1,1,9,6,92,0,34,51,5,45,15,7,22,9,5,49,18,1,1,4,2,22,145236.14,540047594.0,756284.0,175538.0,157.99,154.96,3.03,9295900.0,167.54,168.38,-0.84,9963200.0,163.53,160.7,2.83,2688100.0,"34,520.82","34,168.09",352.73,"546,330,000",52.57,53.01,-0.44,39644800.0,57.7,57.12,0.58,4483300.0,80.79,79.18,1.61,8130900.0
29,29,2022-01-25,1699-5000,2022-01-15,28,71,37,25,48,25,64,45,17,5,14,21,16,20,40,22,8,13,30,12,46,2,24,75,7,45.0,54.0,26.0,81.0,24.0,26.0,52.0,22.0,65.0,56.0,9.0,9.0,44.0,34.0,21.0,70.0,46.0,55.0,48.0,17.0,1.0,25.0,41.0,1,1,12,9,54,0,36,45,5,31,15,9,28,14,0,58,18,0,0,3,2,24,143556.29,539291310.0,766098.0,165606.0,156.01,152.54,3.47,11475000.0,162.36,167.63,-5.27,14081200.0,157.49,156.49,0.99,4071000.0,"34,186.64","34,297.73",-111.09,"506,430,000",51.36,52.54,-1.18,43983200.0,56.5,57.85,-1.35,6155800.0,78.46,77.21,1.25,7578600.0
