,Unnamed: 0,Date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake,toilet paper,stimulus,vaccines near me,vaccine side effects,how to get my taste back,anti-depressant,mental health,can dogs get covid,doritos locos tacos,best hikes near me,tiktok,jeff bezos net worth,what is ivermectin,what is mrna,bill gates population control,ubereats,instacart jobs,gig economy,stimmy,trump,biden,china,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
23,23,2019-12-24,24,61,29,32,52,20,66,43,39,0,0,17,0,7,42,20,0,13,32,2,47,2,35,87,2,0.0,60.0,9.0,69.0,20.0,26.0,47.0,40.0,42.0,66.0,4.0,2.0,40.0,32.0,7.0,60.0,45.0,42.0,32.0,1.0,0.0,14.0,37.0,1,0,3,1,0,0,25,0,2,25,5,9,0,1,0,38,10,7,0,8,0,25,,,,
24,24,2019-12-25,25,50,20,14,43,21,42,39,35,11,5,0,0,5,25,25,0,0,36,1,47,1,31,77,2,0.0,53.0,11.0,72.0,27.0,25.0,46.0,20.0,60.0,67.0,6.0,9.0,51.0,40.0,9.0,59.0,46.0,59.0,31.0,1.0,0.0,16.0,45.0,1,0,2,1,6,0,20,0,0,23,4,15,0,0,0,36,5,1,0,8,0,33,,,,
25,25,2019-12-26,39,65,33,22,53,21,55,44,44,5,0,10,0,21,43,34,0,6,35,2,43,3,31,94,3,0.0,75.0,16.0,66.0,19.0,30.0,50.0,16.0,62.0,63.0,8.0,10.0,53.0,32.0,13.0,66.0,46.0,59.0,35.0,1.0,0.0,18.0,44.0,1,0,4,1,5,0,35,0,3,15,4,12,0,2,11,51,11,18,0,7,0,23,,,,
26,26,2019-12-27,37,67,47,23,50,20,67,44,43,0,4,22,0,16,55,37,0,6,36,2,21,3,35,87,3,0.0,65.0,8.0,75.0,23.0,78.0,55.0,20.0,62.0,58.0,6.0,8.0,49.0,44.0,12.0,52.0,49.0,55.0,39.0,1.0,0.0,20.0,43.0,1,0,2,2,5,21,34,0,3,10,4,12,0,1,0,54,12,20,0,7,0,22,,,,
27,27,2019-12-28,42,65,18,27,50,20,60,44,45,0,0,3,0,10,57,30,0,6,35,2,51,1,38,87,2,0.0,59.0,15.0,94.0,23.0,61.0,54.0,18.0,63.0,54.0,5.0,4.0,48.0,46.0,9.0,58.0,45.0,52.0,34.0,1.0,0.0,19.0,42.0,1,0,5,1,0,0,24,0,2,15,5,13,1,1,11,55,12,8,0,7,1,23,,,,
28,28,2019-12-29,36,64,35,29,51,22,56,45,42,0,0,13,0,9,76,28,0,6,55,2,51,3,31,89,2,0.0,58.0,13.0,66.0,26.0,35.0,50.0,17.0,59.0,60.0,7.0,4.0,53.0,47.0,9.0,49.0,45.0,62.0,37.0,1.0,0.0,17.0,43.0,1,0,3,1,5,22,27,0,3,19,4,11,1,1,5,49,11,7,0,7,0,22,,,,
29,29,2019-12-30,51,75,30,22,57,23,60,43,40,0,4,12,0,11,45,28,0,17,35,3,44,5,38,89,3,0.0,60.0,8.0,69.0,25.0,27.0,48.0,19.0,54.0,54.0,6.0,8.0,52.0,40.0,11.0,59.0,47.0,56.0,37.0,1.0,0.0,19.0,41.0,1,0,3,1,0,0,45,0,5,18,5,9,0,2,0,49,16,16,0,7,1,22,,,,
30,30,2019-12-31,36,68,20,22,53,21,58,40,39,5,4,19,0,10,55,27,0,6,36,3,37,3,35,82,3,0.0,60.0,9.0,80.0,20.0,28.0,63.0,23.0,55.0,52.0,5.0,6.0,48.0,37.0,11.0,80.0,46.0,54.0,32.0,1.0,0.0,17.0,43.0,1,0,2,1,0,0,36,0,4,19,5,7,0,1,0,48,23,18,0,6,1,24,,,,
31,31,2020-01-01,36,64,22,23,53,20,55,37,32,0,0,7,0,8,37,36,0,0,40,2,33,1,35,86,2,0.0,66.0,13.0,65.0,23.0,26.0,50.0,15.0,62.0,60.0,9.0,9.0,49.0,35.0,10.0,100.0,47.0,66.0,34.0,1.0,0.0,18.0,46.0,1,0,2,1,5,44,22,0,7,34,5,9,0,3,0,53,19,19,0,7,0,25,,,,
32,32,2020-01-02,44,81,22,20,65,20,67,38,36,0,4,33,0,9,42,30,0,6,35,4,36,6,52,86,3,0.0,59.0,14.0,62.0,27.0,26.0,56.0,16.0,58.0,63.0,10.0,10.0,48.0,39.0,10.0,89.0,48.0,66.0,38.0,1.0,0.0,17.0,44.0,1,0,3,1,4,19,46,0,1,21,6,11,2,7,0,52,14,28,0,6,1,22,,,,
33,33,2020-01-03,35,74,59,22,58,19,67,38,38,0,0,24,0,10,51,25,0,5,42,4,40,3,48,88,3,0.0,56.0,10.0,72.0,26.0,28.0,58.0,18.0,61.0,61.0,8.0,11.0,46.0,34.0,10.0,63.0,45.0,59.0,41.0,1.0,0.0,19.0,45.0,1,0,2,1,0,0,47,0,1,33,6,7,1,2,5,52,21,4,0,16,0,24,,,,
34,34,2020-01-04,41,68,47,26,55,21,66,42,38,0,4,10,0,9,79,31,0,12,36,2,55,2,42,92,2,0.0,84.0,21.0,81.0,21.0,29.0,59.0,19.0,64.0,59.0,5.0,6.0,43.0,39.0,9.0,61.0,48.0,58.0,36.0,1.0,0.0,19.0,40.0,1,0,2,1,14,0,29,0,3,23,6,9,0,0,5,51,19,13,0,15,0,26,,,,
35,35,2020-01-05,44,71,24,25,57,21,56,38,34,0,4,16,0,10,39,30,0,6,37,3,44,3,38,83,2,0.0,74.0,16.0,68.0,21.0,28.0,53.0,14.0,61.0,61.0,16.0,17.0,48.0,39.0,9.0,62.0,53.0,66.0,41.0,1.0,0.0,16.0,42.0,2,0,0,1,0,0,31,0,6,28,6,9,1,1,0,52,18,11,0,14,0,25,,,,
36,36,2020-01-06,36,80,30,22,66,16,65,34,38,8,4,20,0,13,41,22,0,11,31,3,36,5,38,82,3,0.0,72.0,24.0,64.0,28.0,28.0,47.0,15.0,62.0,65.0,16.0,26.0,50.0,41.0,8.0,54.0,54.0,73.0,41.0,1.0,0.0,17.0,41.0,1,0,3,1,0,0,52,0,2,8,5,9,0,10,0,50,20,10,0,14,0,22,,,,
37,37,2020-01-07,34,84,18,26,75,16,68,38,44,0,0,23,0,14,41,19,0,5,32,3,28,6,42,92,3,0.0,57.0,16.0,59.0,28.0,87.0,46.0,14.0,63.0,65.0,18.0,32.0,46.0,41.0,7.0,57.0,50.0,76.0,44.0,1.0,0.0,16.0,39.0,1,0,3,2,4,0,57,0,3,4,5,11,1,16,0,46,15,15,0,12,0,23,,,,
38,38,2020-01-08,40,79,36,24,75,18,63,35,36,8,0,28,0,12,55,18,0,5,34,5,36,3,49,86,3,0.0,71.0,20.0,59.0,28.0,84.0,44.0,16.0,62.0,65.0,22.0,33.0,48.0,39.0,7.0,72.0,53.0,78.0,44.0,1.0,0.0,16.0,39.0,1,0,4,2,0,0,55,0,2,4,4,10,0,14,4,54,23,16,0,26,1,24,,,,
39,39,2020-01-09,55,75,33,24,80,16,71,36,36,8,4,34,0,15,70,17,0,27,31,4,41,4,49,82,4,0.0,60.0,17.0,59.0,25.0,67.0,42.0,17.0,61.0,62.0,18.0,29.0,47.0,39.0,8.0,66.0,51.0,70.0,45.0,1.0,0.0,17.0,41.0,1,0,1,2,4,0,57,0,2,4,4,8,2,15,0,36,19,12,0,11,0,23,,,,
40,40,2020-01-10,46,74,42,17,72,15,72,34,32,4,11,42,0,10,60,16,0,11,34,4,35,4,42,85,3,0.0,47.0,16.0,69.0,28.0,48.0,47.0,22.0,62.0,61.0,9.0,9.0,49.0,34.0,9.0,72.0,47.0,61.0,38.0,1.0,0.0,20.0,44.0,1,0,2,2,4,18,49,0,2,24,5,7,0,18,0,54,14,16,0,9,0,23,,,,
