,Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,AZN_Open,AZN_Close,AZN_Difference,AZN_Volume, NVAX_Open , NVAX_Close ,NVAX_Difference,NVAX_Volume,Total Doses Administered,Daily Increase,Number of Flights,Current Hospitalized COVID-19 Patients,Unnamed: 0,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake,toilet paper,stimulus,vaccines near me,vaccine side effects,how to get my taste back,anti-depressant,mental health,can dogs get covid,doritos locos tacos,best hikes near me,tiktok,jeff bezos net worth,what is ivermectin,what is mrna,bill gates population control,ubereats,instacart jobs,gig economy,stimmy,trump,biden,china
10,2019-12-16,18.6,18.52,0.08,1785500,141.73,141.79,-0.06,5353100,38.44,35.0,3.44,622900,"28,191.67","28,235.89",-44.22,"286,770,000",36.72,37.13,-0.42,24187824,49.48,49.31,0.17,3149800,4.02,4.0,0.02,1089200,,,,,15,48,77,30,17,82,17,56,37,29,4,4,46,0,30,49,24,0,5,31,3,34,4,49,82,3,0.0,55.0,19.0,66.0,31.0,27.0,42.0,18.0,70.0,67.0,21.0,36.0,47.0,36.0,8.0,69.0,53.0,67.0,42.0,1.0,0.0,15.0,37.0,1,0,3,1,4,19,53,0,1,0,3,13,1,20,0,46,14,7,0,8,0,23
11,2019-12-17,18.54,18.44,0.1,1647800,143.0,143.56,-0.56,10722400,36.51,36.91,-0.4,261600,"28,221.75","28,267.16",-45.41,"286,770,000",37.42,36.91,0.51,29038016,49.05,48.97,0.08,1405000,3.95,3.99,-0.04,884100,,,,,16,37,77,22,20,83,16,62,36,29,4,0,26,0,22,78,24,0,22,29,4,38,5,55,86,4,0.0,47.0,9.0,66.0,22.0,26.0,42.0,16.0,67.0,64.0,20.0,39.0,45.0,37.0,7.0,63.0,47.0,67.0,41.0,1.0,0.0,15.0,35.0,1,0,1,1,0,58,53,0,1,4,3,12,2,21,0,44,6,24,0,9,0,22
12,2019-12-18,18.48,18.64,-0.16,1277700,143.72,143.19,0.53,7849200,35.48,35.0,0.48,146500,"28,291.44","28,239.28",52.16,"289,890,000",37.01,36.9,0.11,27339390,48.97,49.24,-0.27,3365900,4.0,3.96,0.04,524400,,,,,17,42,73,59,27,72,15,59,34,30,9,8,21,0,26,60,21,0,0,34,3,44,4,45,82,3,0.0,63.0,17.0,59.0,24.0,26.0,40.0,15.0,61.0,61.0,17.0,26.0,44.0,34.0,8.0,80.0,49.0,57.0,39.0,1.0,0.0,14.0,34.0,1,0,2,2,0,19,53,0,0,4,3,9,0,22,0,51,9,24,0,29,1,23
13,2019-12-19,18.58,19.41,-0.83,2101700,143.89,145.35,-1.46,9414700,33.87,29.34,4.53,250500,"28,278.31","28,376.96",-98.65,"262,570,000",37.0,36.97,0.03,22022276,49.3,49.97,-0.67,4377300,3.98,4.01,-0.03,950400,,,,,18,33,65,28,21,66,13,61,34,28,0,0,30,0,41,36,18,0,0,35,3,31,3,45,83,3,0.0,59.0,5.0,69.0,26.0,24.0,43.0,16.0,57.0,66.0,12.0,15.0,47.0,33.0,9.0,65.0,49.0,59.0,32.0,1.0,0.0,15.0,37.0,1,0,4,2,4,0,41,0,1,5,3,13,1,16,0,55,5,13,0,100,1,22
14,2019-12-20,19.4,19.83,-0.43,10931400,146.88,146.06,0.82,14532800,31.81,34.97,-3.16,447900,"28,608.64","28,455.09",153.55,"603,780,000",37.33,37.22,0.11,58199772,50.54,50.46,0.08,4715100,4.08,4.01,0.07,1390600,,,,,19,32,64,30,18,56,14,65,35,29,0,0,37,0,19,60,18,0,12,49,3,41,2,38,83,3,0.0,55.0,11.0,66.0,17.0,26.0,46.0,20.0,56.0,60.0,5.0,12.0,45.0,33.0,9.0,69.0,46.0,51.0,35.0,0.0,0.0,18.0,39.0,1,0,1,2,0,20,42,0,3,0,3,15,0,9,0,66,11,8,0,23,2,22
15,2019-12-23,19.79,19.7,0.09,1789700,145.74,146.44,-0.7,6558700,34.91,34.73,0.18,103500,"28,491.78","28,551.53",-59.75,"223,530,000",37.4,37.31,0.09,17454345,50.4,49.89,0.51,3189900,4.04,4.0,0.04,1070000,,,,,22,27,65,31,22,51,23,57,41,38,0,0,13,0,9,52,20,0,0,34,2,45,5,31,83,2,0.0,55.0,11.0,69.0,21.0,24.0,45.0,27.0,52.0,58.0,7.0,7.0,44.0,27.0,7.0,52.0,46.0,53.0,36.0,1.0,0.0,17.0,38.0,1,0,3,1,0,0,36,0,0,0,4,9,3,3,0,50,7,6,0,9,0,22
16,2019-12-24,19.69,19.75,-0.06,488900,146.0,145.93,0.07,4238900,34.61,33.47,1.14,23900,"28,572.57","28,515.45",57.12,"86,150,000",37.31,37.28,0.04,5187683,49.79,49.87,-0.08,755800,4.0,4.0,0.0,603100,,,,,23,24,61,29,32,52,20,66,43,39,0,0,17,0,7,42,20,0,13,32,2,47,2,35,87,2,0.0,60.0,9.0,69.0,20.0,26.0,47.0,40.0,42.0,66.0,4.0,2.0,40.0,32.0,7.0,60.0,45.0,42.0,32.0,1.0,0.0,14.0,37.0,1,0,3,1,0,0,25,0,2,25,5,9,0,1,0,38,10,7,0,8,0,25
17,2019-12-26,19.82,19.86,-0.04,750300,145.97,145.83,0.14,3019300,33.29,33.2,0.09,53900,"28,539.46","28,621.39",-81.93,"155,970,000",37.29,37.36,-0.08,9384078,49.85,49.85,0.0,1013100,3.99,4.0,-0.01,1202100,,,,,25,39,65,33,22,53,21,55,44,44,5,0,10,0,21,43,34,0,6,35,2,43,3,31,94,3,0.0,75.0,16.0,66.0,19.0,30.0,50.0,16.0,62.0,63.0,8.0,10.0,53.0,32.0,13.0,66.0,46.0,59.0,35.0,1.0,0.0,18.0,44.0,1,0,4,1,5,0,35,0,3,15,4,12,0,2,11,51,11,18,0,7,0,23
18,2019-12-27,19.99,19.52,0.47,1046900,146.2,145.75,0.45,3432700,32.61,32.58,0.03,38100,"28,675.34","28,645.26",30.08,"182,280,000",37.41,37.31,0.1,10117662,50.57,50.44,0.13,1636200,4.0,3.99,0.01,774900,,,,,26,37,67,47,23,50,20,67,44,43,0,4,22,0,16,55,37,0,6,36,2,21,3,35,87,3,0.0,65.0,8.0,75.0,23.0,78.0,55.0,20.0,62.0,58.0,6.0,8.0,49.0,44.0,12.0,52.0,49.0,55.0,39.0,1.0,0.0,20.0,43.0,1,0,2,2,5,21,34,0,3,10,4,12,0,1,0,54,12,20,0,7,0,22
19,2019-12-30,19.54,19.05,0.49,1183300,145.78,145.3,0.48,2923300,33.0,34.91,-1.91,33500,"28,654.76","28,462.14",192.62,"181,600,000",37.29,36.92,0.37,11554264,50.83,50.01,0.82,1960300,3.98,4.0,-0.02,734600,,,,,29,51,75,30,22,57,23,60,43,40,0,4,12,0,11,45,28,0,17,35,3,44,5,38,89,3,0.0,60.0,8.0,69.0,25.0,27.0,48.0,19.0,54.0,54.0,6.0,8.0,52.0,40.0,11.0,59.0,47.0,56.0,37.0,1.0,0.0,19.0,41.0,1,0,3,1,0,0,45,0,5,18,5,9,0,2,0,49,16,16,0,7,1,22
20,2019-12-31,18.96,19.56,-0.6,1112400,145.1,145.87,-0.77,4435000,34.71,33.88,0.83,40000,"28,414.64","28,538.44",-123.8,"193,340,000",36.8,37.17,-0.37,15175703,49.77,49.86,-0.09,1750000,3.98,3.98,0.0,1324900,,,,,30,36,68,20,22,53,21,58,40,39,5,4,19,0,10,55,27,0,6,36,3,37,3,35,82,3,0.0,60.0,9.0,80.0,20.0,28.0,63.0,23.0,55.0,52.0,5.0,6.0,48.0,37.0,11.0,80.0,46.0,54.0,32.0,1.0,0.0,17.0,43.0,1,0,2,1,0,0,36,0,4,19,5,7,0,1,0,48,23,18,0,6,1,24
21,2020-01-02,19.57,19.23,0.34,1233600,145.87,145.97,-0.1,5777000,35.75,38.5,-2.75,139500,"28,638.97","28,868.80",-229.83,"251,820,000",37.29,37.13,0.15,16514072,50.3,50.39,-0.09,3587300,3.99,4.49,-0.5,6124200,,,,,32,44,81,22,20,65,20,67,38,36,0,4,33,0,9,42,30,0,6,35,4,36,6,52,86,3,0.0,59.0,14.0,62.0,27.0,26.0,56.0,16.0,58.0,63.0,10.0,10.0,48.0,39.0,10.0,89.0,48.0,66.0,38.0,1.0,0.0,17.0,44.0,1,0,3,1,4,19,46,0,1,21,6,11,2,7,0,52,14,28,0,6,1,22
22,2020-01-03,19.02,18.89,0.13,1751000,143.5,144.28,-0.78,5752400,38.0,40.05,-2.05,176000,"28,553.33","28,634.88",-81.55,"239,590,000",36.74,36.94,-0.2,14922848,49.88,50.09,-0.21,1208700,4.47,4.44,0.03,1709000,,,,,33,35,74,59,22,58,19,67,38,38,0,0,24,0,10,51,25,0,5,42,4,40,3,48,88,3,0.0,56.0,10.0,72.0,26.0,28.0,58.0,18.0,61.0,61.0,8.0,11.0,46.0,34.0,10.0,63.0,45.0,59.0,41.0,1.0,0.0,19.0,45.0,1,0,2,1,0,0,47,0,1,33,6,7,1,2,5,52,21,4,0,16,0,24
23,2020-01-06,18.7,18.13,0.57,1606500,144.0,144.1,-0.1,7731300,40.11,44.58,-4.47,333300,"28,465.50","28,703.38",-237.88,"252,760,000",36.83,36.89,-0.06,15771951,50.04,49.88,0.16,1992300,4.41,4.58,-0.17,2111700,,,,,36,36,80,30,22,66,16,65,34,38,8,4,20,0,13,41,22,0,11,31,3,36,5,38,82,3,0.0,72.0,24.0,64.0,28.0,28.0,47.0,15.0,62.0,65.0,16.0,26.0,50.0,41.0,8.0,54.0,54.0,73.0,41.0,1.0,0.0,17.0,41.0,1,0,3,1,0,0,52,0,2,8,5,9,0,10,0,50,20,10,0,14,0,22
24,2020-01-07,18.15,17.78,0.37,1461400,144.01,144.98,-0.97,7382900,47.4,43.34,4.06,562100,"28,639.18","28,583.68",55.5,"258,900,000",37.12,36.76,0.35,20108107,50.14,50.07,0.07,1871900,4.6,4.57,0.03,1024000,,,,,37,34,84,18,26,75,16,68,38,44,0,0,23,0,14,41,19,0,5,32,3,28,6,42,92,3,0.0,57.0,16.0,59.0,28.0,87.0,46.0,14.0,63.0,65.0,18.0,32.0,46.0,41.0,7.0,57.0,50.0,76.0,44.0,1.0,0.0,16.0,39.0,1,0,3,2,4,0,57,0,3,4,5,11,1,16,0,46,15,15,0,12,0,23
25,2020-01-08,17.99,17.98,0.01,1041600,144.87,144.96,-0.09,6605800,44.3,45.1,-0.8,193900,"28,556.14","28,745.09",-188.95,"291,750,000",36.77,37.06,-0.28,16403507,49.87,49.95,-0.08,1869000,4.56,4.28,0.28,1790100,,,,,38,40,79,36,24,75,18,63,35,36,8,0,28,0,12,55,18,0,5,34,5,36,3,49,86,3,0.0,71.0,20.0,59.0,28.0,84.0,44.0,16.0,62.0,65.0,22.0,33.0,48.0,39.0,7.0,72.0,53.0,78.0,44.0,1.0,0.0,16.0,39.0,1,0,4,2,0,0,55,0,2,4,4,10,0,14,4,54,23,16,0,26,1,24
26,2020-01-09,18.0,18.4,-0.4,1495700,145.76,145.39,0.37,6112700,46.55,43.27,3.28,234900,"28,851.97","28,956.90",-104.93,"275,060,000",37.26,36.9,0.36,21971895,50.03,50.08,-0.05,1959000,4.25,4.01,0.24,2095000,,,,,39,55,75,33,24,80,16,71,36,36,8,4,34,0,15,70,17,0,27,31,4,41,4,49,82,4,0.0,60.0,17.0,59.0,25.0,67.0,42.0,17.0,61.0,62.0,18.0,29.0,47.0,39.0,8.0,66.0,51.0,70.0,45.0,1.0,0.0,17.0,41.0,1,0,1,2,4,0,57,0,2,4,4,8,2,15,0,36,19,12,0,11,0,23
27,2020-01-10,21.0,19.14,1.86,4504700,145.75,145.06,0.69,5042600,44.99,39.68,5.31,369100,"28,977.52","28,823.77",153.75,"237,830,000",36.98,37.47,-0.48,21557357,49.87,49.85,0.02,1872900,4.0,3.93,0.07,1682100,,,,,40,46,74,42,17,72,15,72,34,32,4,11,42,0,10,60,16,0,11,34,4,35,4,42,85,3,0.0,47.0,16.0,69.0,28.0,48.0,47.0,22.0,62.0,61.0,9.0,9.0,49.0,34.0,9.0,72.0,47.0,61.0,38.0,1.0,0.0,20.0,44.0,1,0,2,2,4,18,49,0,2,24,5,7,0,18,0,54,14,16,0,9,0,23
28,2020-01-13,19.26,20.26,-1.0,2207500,145.48,145.7,-0.22,4593200,41.01,37.83,3.18,459400,"28,869.01","28,907.05",-38.04,"249,830,000",37.59,37.39,0.2,15392405,49.48,49.67,-0.19,2395900,3.97,3.95,0.02,1766900,,,,,43,39,84,27,21,79,15,61,37,36,8,7,26,0,13,73,20,0,5,36,5,37,5,44,79,4,0.0,65.0,10.0,65.0,33.0,30.0,45.0,16.0,65.0,62.0,22.0,30.0,47.0,45.0,8.0,63.0,53.0,74.0,45.0,1.0,0.0,16.0,41.0,1,0,2,1,0,17,62,0,3,11,5,12,0,18,4,41,11,13,0,7,0,22
29,2020-01-14,20.45,20.0,0.45,1782800,145.05,146.52,-1.47,7037500,35.3,34.53,0.77,266300,"28,895.50","28,939.67",-44.17,"287,440,000",37.41,38.02,-0.61,20919160,49.77,50.18,-0.41,2230800,3.91,3.99,-0.08,924700,,,,,44,38,79,36,20,77,16,70,36,40,4,0,29,0,16,69,16,0,14,31,5,53,5,41,86,4,0.0,60.0,16.0,62.0,34.0,32.0,48.0,16.0,65.0,65.0,24.0,31.0,50.0,48.0,7.0,59.0,56.0,75.0,46.0,1.0,0.0,17.0,41.0,1,0,3,1,0,15,59,0,4,17,4,13,0,28,0,37,16,13,0,10,0,23
30,2020-01-15,19.94,20.24,-0.3,2055000,146.4,147.01,-0.61,4960300,35.3,34.55,0.75,361000,"28,901.80","29,030.22",-128.42,"260,270,000",38.13,38.59,-0.46,23925800,50.54,50.8,-0.26,2489400,4.47,4.38,0.09,5107000,,,,,45,35,84,31,18,79,16,62,39,41,8,0,22,0,17,79,15,1,15,33,4,47,5,46,92,4,0.0,60.0,12.0,56.0,37.0,29.0,43.0,14.0,65.0,65.0,23.0,35.0,48.0,45.0,7.0,62.0,52.0,75.0,47.0,1.0,0.0,16.0,41.0,1,0,3,2,0,0,62,0,3,8,5,10,1,28,0,47,14,8,0,9,1,28
31,2020-01-16,21.68,21.01,0.67,4918400,147.42,148.2,-0.78,6476000,35.75,32.25,3.5,692100,"29,131.95","29,297.64",-165.69,"252,110,000",38.7,38.53,0.17,16216422,50.58,50.51,0.07,3078300,4.5,4.78,-0.28,4380200,,,,,46,44,84,44,26,77,15,61,36,38,0,0,22,0,12,76,15,0,5,33,5,32,4,42,90,4,0.0,60.0,21.0,59.0,28.0,29.0,44.0,13.0,63.0,63.0,22.0,25.0,50.0,45.0,7.0,66.0,51.0,68.0,45.0,1.0,0.0,17.0,43.0,1,0,3,2,0,18,61,0,2,0,4,8,0,31,0,41,14,15,0,10,1,28
32,2020-01-17,21.5,20.62,0.88,3348400,148.41,149.17,-0.76,9083600,33.05,33.18,-0.13,615100,"29,313.31","29,348.10",-34.79,"321,820,000",38.49,38.43,0.06,23083970,51.44,51.33,0.11,2685900,4.88,5.74,-0.86,9559900,,,,,47,44,76,21,27,67,13,59,35,33,0,0,23,0,12,43,14,0,5,42,4,34,3,41,91,4,0.0,52.0,22.0,69.0,24.0,27.0,48.0,17.0,64.0,64.0,7.0,7.0,50.0,37.0,8.0,83.0,50.0,61.0,39.0,1.0,0.0,19.0,44.0,1,0,2,1,4,18,49,0,2,4,5,12,0,28,0,51,16,9,0,9,0,26
33,2020-01-21,20.79,20.94,-0.15,2089600,148.58,149.27,-0.69,9543900,33.79,36.54,-2.75,264500,"29,269.05","29,196.04",73.01,"320,640,000",38.31,38.27,0.04,23115696,50.48,50.8,-0.32,1964100,9.15,9.82,-0.67,55305200,,,,,51,50,82,50,27,79,16,71,39,45,0,4,42,0,12,49,14,0,21,41,5,29,5,48,86,4,0.0,66.0,28.0,59.0,33.0,26.0,43.0,15.0,72.0,64.0,27.0,36.0,51.0,44.0,8.0,65.0,54.0,77.0,49.0,0.0,0.0,17.0,40.0,1,0,3,1,4,0,59,0,2,0,5,13,1,22,0,37,18,11,0,9,1,46
34,2020-01-22,22.08,21.97,0.11,10920700,146.7,148.25,-1.55,10305300,37.61,38.88,-1.27,318200,"29,263.63","29,186.27",77.36,"283,440,000",38.25,38.13,0.12,18097812,51.0,50.45,0.55,1924000,8.38,7.09,1.29,16921200,,,,,52,38,80,48,19,83,17,70,40,39,0,4,25,0,16,49,14,1,26,51,4,41,8,44,93,4,0.0,62.0,17.0,59.0,25.0,29.0,43.0,13.0,68.0,63.0,28.0,38.0,48.0,42.0,7.0,61.0,58.0,74.0,47.0,1.0,0.0,17.0,40.0,1,0,6,2,0,0,62,0,2,12,5,13,0,27,0,42,14,15,0,9,1,51
35,2020-01-23,22.17,21.47,0.7,3663900,148.04,148.53,-0.49,8671900,37.21,36.7,0.51,192900,"29,111.02","29,160.09",-49.07,"307,060,000",38.13,38.62,-0.49,27148510,50.33,50.2,0.13,1560800,7.88,7.66,0.22,16709400,0.0,0.0,189810.0,0.0,53,43,79,33,20,84,19,76,40,39,0,4,40,0,14,60,14,2,11,85,3,54,5,48,86,4,0.0,53.0,11.0,56.0,31.0,27.0,43.0,16.0,65.0,62.0,26.0,26.0,49.0,48.0,7.0,67.0,56.0,72.0,48.0,1.0,0.0,16.0,41.0,1,0,3,1,8,18,62,0,1,0,5,12,0,33,9,45,20,13,0,10,1,62
36,2020-01-24,21.6,21.12,0.48,2947800,148.58,148.32,0.26,9051900,35.32,34.99,0.33,209700,"29,230.39","28,989.73",240.66,"380,010,000",38.84,37.78,1.06,34143698,50.52,49.28,1.24,4466500,7.99,7.8,0.19,10553600,0.0,0.0,189551.0,0.0,54,52,78,42,22,75,16,72,38,37,4,0,37,0,13,70,13,2,16,90,5,43,6,45,92,3,0.0,53.0,24.0,65.0,22.0,25.0,47.0,19.0,60.0,55.0,11.0,15.0,46.0,38.0,8.0,68.0,50.0,58.0,36.0,1.0,0.0,21.0,45.0,1,0,2,2,0,18,53,0,1,12,5,10,0,32,4,35,14,14,0,10,1,75
37,2020-01-27,22.1,22.74,-0.64,10294700,147.52,148.75,-1.23,7587100,33.24,33.2,0.04,120000,"28,542.49","28,535.80",6.69,"337,270,000",37.39,38.1,-0.71,31964026,48.91,48.9,0.01,2265600,9.23,8.5,0.73,16742100,0.0,0.0,176736.0,0.0,57,48,82,22,24,80,18,60,40,44,0,11,29,0,13,49,11,1,10,54,5,25,7,39,83,3,0.0,51.0,16.0,58.0,23.0,55.0,46.0,15.0,67.0,63.0,27.0,30.0,48.0,55.0,9.0,55.0,55.0,73.0,52.0,0.0,0.0,18.0,39.0,1,0,1,1,8,0,65,0,3,4,5,7,0,27,8,37,19,6,0,10,1,65
38,2020-01-28,23.5,22.36,1.14,5649300,148.46,149.5,-1.04,7336600,34.04,34.22,-0.18,165200,"28,594.28","28,722.85",-128.57,"330,140,000",37.31,36.19,1.12,70202408,49.5,49.6,-0.1,1765400,8.01,7.17,0.84,8664300,0.0,0.0,178310.0,0.0,58,44,86,41,22,86,17,63,44,48,4,15,19,0,12,61,12,1,5,53,5,18,5,45,90,4,0.0,56.0,14.0,56.0,28.0,44.0,43.0,15.0,65.0,63.0,28.0,36.0,49.0,53.0,9.0,55.0,58.0,75.0,48.0,1.0,0.0,17.0,38.0,1,0,3,2,0,18,63,0,2,16,5,10,0,27,4,42,17,10,0,11,1,65
