Date,Total Doses Administered,Daily Increase
2021-05-15,290648514,1840656
2021-05-14,288807858,2444257
2021-05-13,286363601,2269291
2021-05-12,284094310,2008845
2021-05-11,282085465,2040478
2021-05-10,280044987,1598794
2021-05-09,278446193,613081
2021-05-08,277833112,1529916
2021-05-07,276303196,2497888
2021-05-06,273805308,2511116
2021-05-05,271294192,2538629
2021-05-04,268755563,2495303
2021-05-03,266260260,1955748
2021-05-02,264304512,875673
2021-05-01,263428839,1834549
2021-04-30,261594290,2894595
2021-04-29,258699695,3031901
2021-04-28,255667794,3066883
2021-04-27,252600911,2873439
2021-04-26,249727472,2377547
2021-04-25,247349925,989598
2021-04-24,246360327,2198649
2021-04-23,244161678,3279087
2021-04-22,240882591,3479108
2021-04-21,237403483,3457675
2021-04-20,233945808,3217392
2021-04-19,230728416,2571077
2021-04-18,228157339,1128939
2021-04-17,227028400,2353711
2021-04-16,224674689,3589468
2021-04-15,221085221,3732063
2021-04-14,217353158,3680958
2021-04-13,213672200,3468784
2021-04-12,210203416,3009004
2021-04-11,207194412,1397313
2021-04-10,205797099,2878525
2021-04-09,202918574,4310200
2021-04-08,198608374,4492281
2021-04-07,194116093,4349954
2021-04-06,189766139,3973153
2021-04-05,185792986,3100661
2021-04-04,182692325,762087
2021-04-03,181930238,2297501
2021-04-02,179632737,3651241
2021-04-01,175981496,4542790
2021-03-31,171438706,4166614
2021-03-30,167272092,3588425
2021-03-29,163683667,2834983
2021-03-28,160848684,1208522
2021-03-27,159640162,2468989
2021-03-26,157171173,3826406
2021-03-25,153344767,3831686
2021-03-24,149513081,3552975
2021-03-23,145960106,3061711
2021-03-22,142898395,2361243
2021-03-21,140537152,1017567
2021-03-20,139519585,2152018
2021-03-19,137367567,3334926
2021-03-18,134032641,3398688
2021-03-17,130633953,3164563
2021-03-16,127469390,2884364
2021-03-15,124585026,2278165
2021-03-14,122306861,982536
2021-03-13,121324325,2187137
2021-03-12,119137188,3423066
2021-03-11,115714122,3434446
2021-03-10,112279676,3119469
2021-03-09,109160207,2703426
2021-03-08,106456781,2161373
2021-03-07,104295408,923282
2021-03-06,103372126,2055897
2021-03-05,101316229,3225233
2021-03-04,98090996,3199739
2021-03-03,94891257,2898319
2021-03-02,91992938,2459727
2021-03-01,89533211,2041115
2021-02-28,87492096,853790
2021-02-27,86638306,1992656
2021-02-26,84645650,3110214
2021-02-25,81535436,2934075
2021-02-24,78601361,2523217
2021-02-23,76078144,1934442
2021-02-22,74143702,1459177
2021-02-21,72684525,594151
2021-02-20,72090374,1304153
2021-02-19,70786221,1964896
2021-02-18,68821325,1854635
2021-02-17,66966690,1962511
2021-02-16,65004179,1619163
2021-02-15,63385016,1176199
2021-02-14,62208817,591203
2021-02-13,61617614,1471414
2021-02-12,60146200,2581404
2021-02-11,57564796,2402801
2021-02-10,55161995,2300779
2021-02-09,52861216,1971283
2021-02-08,50889933,1576249
2021-02-07,49313684,443403
2021-02-06,48870281,1298406
2021-02-05,47571875,2352054
2021-02-04,45219821,2342654
2021-02-03,42877167,2135058
2021-02-02,40742109,1693343
2021-02-01,39048766,1378368
2021-01-31,37670398,458218
2021-01-30,37212180,1016921
2021-01-29,36195259,1911845
2021-01-28,34283414,1958924
2021-01-27,32324490,1928897
2021-01-26,30395593,1659536
2021-01-25,28736057,1371300
2021-01-24,27364757,394485
2021-01-23,26970272,906038
2021-01-22,26064234,1625813
2021-01-21,24438421,1628538
2021-01-20,22809883,1600378
2021-01-19,21209505,1344694
2021-01-18,19864811,883525
2021-01-17,18981286,304579
2021-01-16,18676707,648484
2021-01-15,18028223,1255208
2021-01-14,16773015,1314788
2021-01-13,15458227,1322184
2021-01-12,14136043,1256981
2021-01-11,12879062,1069385
2021-01-10,11809677,250747
2021-01-09,11558930,508417
2021-01-08,11050513,1235051
2021-01-07,9815462,1168732
2021-01-06,8646730,1019791
2021-01-05,7626939,830222
2021-01-04,6796717,656327
2021-01-03,6140390,138561
2021-01-02,6001829,263940
2021-01-01,5737889,98193
2020-12-31,5639696,419522
2020-12-30,5220174,842233
2020-12-29,4377941,721091
2020-12-28,3656850,590281
2020-12-27,3066569,96605
2020-12-26,2969964,141787
2020-12-25,2828177,12632
2020-12-24,2815545,195714
2020-12-23,2619831,574444
2020-12-22,2045387,447177
2020-12-21,1598210,381416
2020-12-20,1216794,105037
2020-12-19,1111757,181649
2020-12-18,930108,415833
2020-12-17,514275,272256
2020-12-16,242019,159665
2020-12-15,82354,49631
2020-12-14,32723,4534
2020-12-13,28189,28189
2020-12-12,0,0
2020-12-11,0,0
2020-12-10,0,0
2020-12-09,0,0
2020-12-08,0,0
2020-12-07,0,0
2020-12-06,0,0
2020-12-05,0,0
2020-12-04,0,0
2020-12-03,0,0
2020-12-02,0,0
2020-12-01,0,0
2020-11-30,0,0
2020-11-29,0,0
2020-11-28,0,0
2020-11-27,0,0
2020-11-26,0,0
2020-11-25,0,0
2020-11-24,0,0
2020-11-23,0,0
2020-11-22,0,0
2020-11-21,0,0
2020-11-20,0,0
2020-11-19,0,0
2020-11-18,0,0
2020-11-17,0,0
2020-11-16,0,0
2020-11-15,0,0
2020-11-14,0,0
2020-11-13,0,0
2020-11-12,0,0
2020-11-11,0,0
2020-11-10,0,0
2020-11-09,0,0
2020-11-08,0,0
2020-11-07,0,0
2020-11-06,0,0
2020-11-05,0,0
2020-11-04,0,0
2020-11-03,0,0
2020-11-02,0,0
2020-11-01,0,0
2020-10-31,0,0
2020-10-30,0,0
2020-10-29,0,0
2020-10-28,0,0
2020-10-27,0,0
2020-10-26,0,0
2020-10-25,0,0
2020-10-24,0,0
2020-10-23,0,0
2020-10-22,0,0
2020-10-21,0,0
2020-10-20,0,0
2020-10-19,0,0
2020-10-18,0,0
2020-10-17,0,0
2020-10-16,0,0
2020-10-15,0,0
2020-10-14,0,0
2020-10-13,0,0
2020-10-12,0,0
2020-10-11,0,0
2020-10-10,0,0
2020-10-09,0,0
2020-10-08,0,0
2020-10-07,0,0
2020-10-06,0,0
2020-10-05,0,0
2020-10-04,0,0
2020-10-03,0,0
2020-10-02,0,0
2020-10-01,0,0
2020-09-30,0,0
2020-09-29,0,0
2020-09-28,0,0
2020-09-27,0,0
2020-09-26,0,0
2020-09-25,0,0
2020-09-24,0,0
2020-09-23,0,0
2020-09-22,0,0
2020-09-21,0,0
2020-09-20,0,0
2020-09-19,0,0
2020-09-18,0,0
2020-09-17,0,0
2020-09-16,0,0
2020-09-15,0,0
2020-09-14,0,0
2020-09-13,0,0
2020-09-12,0,0
2020-09-11,0,0
2020-09-10,0,0
2020-09-09,0,0
2020-09-08,0,0
2020-09-07,0,0
2020-09-06,0,0
2020-09-05,0,0
2020-09-04,0,0
2020-09-03,0,0
2020-09-02,0,0
2020-09-01,0,0
2020-08-31,0,0
2020-08-30,0,0
2020-08-29,0,0
2020-08-28,0,0
2020-08-27,0,0
2020-08-26,0,0
2020-08-25,0,0
2020-08-24,0,0
2020-08-23,0,0
2020-08-22,0,0
2020-08-21,0,0
2020-08-20,0,0
2020-08-19,0,0
2020-08-18,0,0
2020-08-17,0,0
2020-08-16,0,0
2020-08-15,0,0
2020-08-14,0,0
2020-08-13,0,0
2020-08-12,0,0
2020-08-11,0,0
2020-08-10,0,0
2020-08-09,0,0
2020-08-08,0,0
2020-08-07,0,0
2020-08-06,0,0
2020-08-05,0,0
2020-08-04,0,0
2020-08-03,0,0
2020-08-02,0,0
2020-08-01,0,0
2020-07-31,0,0
2020-07-30,0,0
2020-07-29,0,0
2020-07-28,0,0
2020-07-27,0,0
2020-07-26,0,0
2020-07-25,0,0
2020-07-24,0,0
2020-07-23,0,0
2020-07-22,0,0
2020-07-21,0,0
2020-07-20,0,0
2020-07-19,0,0
2020-07-18,0,0
2020-07-17,0,0
2020-07-16,0,0
2020-07-15,0,0
2020-07-14,0,0
2020-07-13,0,0
2020-07-12,0,0
2020-07-11,0,0
2020-07-10,0,0
2020-07-09,0,0
2020-07-08,0,0
2020-07-07,0,0
2020-07-06,0,0
2020-07-05,0,0
2020-07-04,0,0
2020-07-03,0,0
2020-07-02,0,0
2020-07-01,0,0
2020-06-30,0,0
2020-06-29,0,0
2020-06-28,0,0
2020-06-27,0,0
2020-06-26,0,0
2020-06-25,0,0
2020-06-24,0,0
2020-06-23,0,0
2020-06-22,0,0
2020-06-21,0,0
2020-06-20,0,0
2020-06-19,0,0
2020-06-18,0,0
2020-06-17,0,0
2020-06-16,0,0
2020-06-15,0,0
2020-06-14,0,0
2020-06-13,0,0
2020-06-12,0,0
2020-06-11,0,0
2020-06-10,0,0
2020-06-09,0,0
2020-06-08,0,0
2020-06-07,0,0
2020-06-06,0,0
2020-06-05,0,0
2020-06-04,0,0
2020-06-03,0,0
2020-06-02,0,0
2020-06-01,0,0
2020-05-31,0,0
2020-05-30,0,0
2020-05-29,0,0
2020-05-28,0,0
2020-05-27,0,0
2020-05-26,0,0
2020-05-25,0,0
2020-05-24,0,0
2020-05-23,0,0
2020-05-22,0,0
2020-05-21,0,0
2020-05-20,0,0
