Date,Number of Flights
2020-06-04,112990
2020-06-03,116320
2020-06-02,118835
2020-06-01,117797
2020-05-31,102287
2020-05-30,106999
2020-05-29,112233
2020-05-28,107189
2020-05-27,111860
2020-05-26,99868
2020-05-25,84532
2020-05-24,80451
2020-05-23,84093
2020-05-22,107821
2020-05-21,121065
2020-05-20,110349
2020-05-19,98601
2020-05-18,89296
2020-05-17,87398
2020-05-16,91233
2020-05-15,94840
2020-05-14,94368
2020-05-13,94702
2020-05-12,89858
2020-05-11,79443
2020-05-10,64344
2020-05-09,81275
2020-05-08,88776
2020-05-07,96122
2020-05-06,90071
2020-05-05,84315
2020-05-04,77484
2020-05-03,68602
2020-05-02,71244
2020-05-01,81522
2020-04-30,78510
2020-04-29,76156
2020-04-28,80714
2020-04-27,74696
2020-04-26,63561
2020-04-25,68877
2020-04-24,74831
2020-04-23,76032
2020-04-22,78427
2020-04-21,75371
2020-04-20,67434
2020-04-19,57994
2020-04-18,58163
2020-04-17,72081
2020-04-16,75216
2020-04-15,74953
2020-04-14,71808
2020-04-13,54214
2020-04-12,46294
2020-04-11,62592
2020-04-10,68188
2020-04-09,68623
2020-04-08,74591
2020-04-07,73157
2020-04-06,67420
2020-04-05,57065
2020-04-04,61570
2020-04-03,72785
2020-04-02,76022
2020-04-01,80431
2020-03-31,77465
2020-03-30,74295
2020-03-29,64522
2020-03-28,69508
2020-03-27,89276
2020-03-26,96970
2020-03-25,94477
2020-03-24,98539
2020-03-23,95227
2020-03-22,102181
2020-03-21,115564
2020-03-20,129138
2020-03-19,132135
2020-03-18,144330
2020-03-17,148325
2020-03-16,157293
2020-03-15,153521
2020-03-14,155729
2020-03-13,171961
2020-03-12,179920
2020-03-11,181341
2020-03-10,171193
2020-03-09,175350
2020-03-08,171187
2020-03-07,168507
2020-03-06,188587
2020-03-05,188674
2020-03-04,182378
2020-03-03,176892
2020-03-02,172689
2020-03-01,167470
2020-02-29,167470
2020-02-28,194125
2020-02-27,186942
2020-02-26,173708
2020-02-25,172456
2020-02-24,173788
2020-02-23,166252
2020-02-22,175274
2020-02-21,196756
2020-02-20,183430
2020-02-19,183938
2020-02-18,172208
2020-02-17,173785
2020-02-16,157345
2020-02-15,169293
2020-02-14,192613
2020-02-13,176585
2020-02-12,176204
2020-02-11,161819
2020-02-10,159472
2020-02-09,152651
2020-02-08,169881
2020-02-07,181611
2020-02-06,171934
2020-02-05,174865
2020-02-04,170708
2020-02-03,179441
2020-02-02,158666
2020-02-01,154067
2020-01-31,184949
2020-01-30,186239
2020-01-29,184425
2020-01-28,178310
2020-01-27,176736
2020-01-26,164267
2020-01-25,162301
2020-01-24,189551
2020-01-23,189810
