date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom
2020-01-19,36.0,71.0,47.0,27.0,56.0,18.0,66.0,36.0,32.0,5.0,4.0,47.0,0.0,9.0,46.0,18.0,0.0,0.0,60.0,3.0,40.0,3.0,31.0,88.0,3.0
2020-01-20,44.0,74.0,52.0,28.0,63.0,17.0,69.0,36.0,36.0,9.0,0.0,29.0,0.0,9.0,57.0,16.0,0.0,0.0,47.0,4.0,44.0,4.0,31.0,87.0,3.0
2020-01-21,50.0,82.0,50.0,27.0,79.0,16.0,71.0,39.0,45.0,0.0,4.0,42.0,0.0,12.0,49.0,14.0,0.0,21.0,41.0,5.0,29.0,5.0,48.0,86.0,4.0
2020-01-22,38.0,80.0,48.0,19.0,83.0,17.0,70.0,40.0,39.0,0.0,4.0,25.0,0.0,16.0,49.0,14.0,1.0,26.0,51.0,4.0,41.0,8.0,44.0,93.0,4.0
2020-01-23,43.0,79.0,33.0,20.0,84.0,19.0,76.0,40.0,39.0,0.0,4.0,40.0,0.0,14.0,60.0,14.0,2.0,11.0,85.0,3.0,54.0,5.0,48.0,86.0,4.0
2020-01-24,52.0,78.0,42.0,22.0,75.0,16.0,72.0,38.0,37.0,4.0,0.0,37.0,0.0,13.0,70.0,13.0,2.0,16.0,90.0,5.0,43.0,6.0,45.0,92.0,3.0
2020-01-25,39.0,69.0,14.0,33.0,56.0,19.0,84.0,42.0,36.0,5.0,4.0,29.0,0.0,11.0,54.0,16.0,1.0,0.0,100.0,4.0,22.0,2.0,32.0,90.0,3.0
2020-01-26,38.0,69.0,41.0,23.0,55.0,16.0,61.0,39.0,38.0,4.0,8.0,39.0,0.0,8.0,45.0,16.0,1.0,0.0,72.0,3.0,22.0,2.0,31.0,83.0,3.0
2020-01-27,48.0,82.0,22.0,24.0,80.0,18.0,60.0,40.0,44.0,0.0,11.0,29.0,0.0,13.0,49.0,11.0,1.0,10.0,54.0,5.0,25.0,7.0,39.0,83.0,3.0
2020-01-28,44.0,86.0,41.0,22.0,86.0,17.0,63.0,44.0,48.0,4.0,15.0,19.0,0.0,12.0,61.0,12.0,1.0,5.0,53.0,5.0,18.0,5.0,45.0,90.0,4.0
2020-01-29,48.0,85.0,21.0,25.0,84.0,21.0,61.0,44.0,52.0,0.0,0.0,28.0,0.0,12.0,58.0,13.0,1.0,32.0,54.0,5.0,47.0,5.0,45.0,91.0,4.0
