,Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
44,2020-02-05,20.99,20.05,0.94,2656800,151.72,153.99,-2.27,5979900,34.0,29.25,4.75,405000,"29,048.73","29,290.85",-242.12,"357,540,000",35.91,36.21,-0.3,29443490,0.0,0.0,0.0,174865.0
45,2020-02-06,20.27,19.88,0.39,1929700,154.25,153.53,0.72,6201200,32.0,32.93,-0.93,387400,"29,388.58","29,379.77",8.81,"263,700,000",36.47,36.3,0.17,21047748,0.0,0.0,0.0,171934.0
46,2020-02-07,19.79,23.24,-3.45,10144200,153.34,151.89,1.45,5700300,31.88,30.88,1.0,166700,"29,286.92","29,102.51",184.41,"252,860,000",36.39,36.1,0.29,21903596,0.0,0.0,0.0,181611.0
47,2020-02-10,23.5,23.65,-0.15,9356800,151.68,151.86,-0.18,4835600,30.99,32.12,-1.13,121700,"28,995.66","29,276.82",-281.16,"250,510,000",36.25,35.87,0.38,19998385,0.0,0.0,0.0,159472.0
48,2020-02-11,22.09,21.35,0.74,6188300,152.29,151.99,0.3,3715300,31.48,30.71,0.77,175300,"29,390.71","29,276.34",114.37,"279,540,000",35.95,36.14,-0.19,16027335,0.0,0.0,0.0,161819.0
49,2020-02-12,19.64,19.01,0.63,19231800,151.87,151.09,0.78,5166800,30.0,29.56,0.44,157700,"29,406.75","29,551.42",-144.67,"309,530,000",36.14,35.81,0.33,22944315,0.0,0.0,0.0,176204.0
50,2020-02-13,19.36,19.05,0.32,6837000,150.16,150.09,0.07,5480200,29.51,30.64,-1.13,107100,"29,436.03","29,423.31",12.72,"291,150,000",35.65,35.04,0.62,22099745,0.0,0.0,0.0,176585.0
51,2020-02-14,19.27,19.0,0.27,5384500,150.56,150.13,0.43,5716300,31.0,30.75,0.25,128700,"29,440.47","29,398.08",42.39,"231,000,000",35.08,34.64,0.44,21006747,0.0,0.0,0.0,192613.0
52,2020-02-18,19.14,18.91,0.23,4121900,150.47,149.14,1.33,7230700,30.49,31.54,-1.05,66200,"29,282.78","29,232.19",50.59,"256,600,000",34.68,34.46,0.22,17988513,0.0,0.0,0.0,172208.0
53,2020-02-19,19.09,18.92,0.17,3148000,149.21,148.94,0.27,6115200,31.5,32.25,-0.75,253800,"29,312.70","29,348.03",-35.33,"240,640,000",34.54,34.37,0.16,17750941,0.0,0.0,0.0,183938.0
54,2020-02-20,18.86,18.54,0.32,4562200,148.61,148.37,0.24,7464700,31.72,32.38,-0.66,152200,"29,296.25","29,219.98",76.27,"287,780,000",33.88,34.01,-0.13,42953135,0.0,0.0,0.0,183430.0
55,2020-02-21,18.47,18.23,0.24,3651100,148.09,149.93,-1.84,7776800,31.8,32.35,-0.55,158700,"29,146.53","28,992.41",154.12,"311,210,000",33.93,33.89,0.04,32425256,0.0,0.0,0.0,196756.0
56,2020-02-24,19.23,18.59,0.64,7605400,146.5,145.91,0.59,10588900,30.0,30.6,-0.6,148400,"28,402.93","27,960.80",442.13,"452,580,000",33.24,32.89,0.35,37969296,0.0,0.0,0.0,173788.0
57,2020-02-25,22.15,23.76,-1.61,65001900,145.99,144.65,1.34,10529000,30.0,33.44,-3.44,201500,"28,037.65","27,081.36",956.29,"513,270,000",32.9,32.19,0.71,41878898,0.0,0.0,0.0,172456.0
58,2020-02-26,29.05,29.16,-0.11,76444500,145.35,143.68,1.67,10093800,31.85,33.75,-1.9,213300,"27,159.46","26,957.59",201.87,"472,450,000",32.49,32.94,-0.46,47920005,0.0,0.0,0.0,173708.0
59,2020-02-27,35.88,26.16,9.72,68256300,142.56,139.12,3.44,12566700,31.45,33.88,-2.43,112400,"26,526.00","25,766.64",759.36,"664,980,000",32.68,32.35,0.32,55444827,0.0,0.0,0.0,186942.0
60,2020-02-28,23.38,25.93,-2.55,24253700,135.36,134.48,0.88,19820300,33.4,35.1,-1.7,234400,"25,270.83","25,409.36",-138.53,"915,990,000",31.77,31.71,0.07,66057447,0.0,0.0,0.0,194125.0
61,2020-03-02,27.0,29.88,-2.88,33084000,134.78,140.02,-5.24,11508200,35.01,36.6,-1.59,185100,"25,590.51","26,703.32","-1,112.81","637,200,000",32.17,33.09,-0.92,42034469,0.0,0.0,0.0,172689.0
62,2020-03-03,27.8,27.91,-0.11,17599100,140.0,135.59,4.41,13662500,36.65,38.48,-1.83,297900,"26,762.47","25,917.41",845.06,"647,080,000",33.38,32.54,0.83,46174475,0.0,0.0,0.0,176892.0
63,2020-03-04,27.99,27.49,0.5,11817700,137.68,143.48,-5.8,10560500,39.0,39.19,-0.19,127100,"26,383.68","27,090.86",-707.18,"457,590,000",33.3,34.54,-1.23,38712155,0.0,0.0,0.0,182378.0
64,2020-03-05,27.49,28.01,-0.52,14670000,140.8,142.01,-1.21,11339200,37.71,37.12,0.59,77000,"26,671.92","26,121.28",550.64,"477,370,000",33.82,33.64,0.18,35096303,0.0,0.0,0.0,188674.0
65,2020-03-06,27.98,29.61,-1.63,21097500,138.48,142.03,-3.55,12239100,37.62,38.09,-0.47,279200,"25,457.21","25,864.78",-407.57,"599,780,000",32.92,33.23,-0.3,40931036,0.0,0.0,0.0,188587.0
66,2020-03-09,30.0,24.29,5.71,14124100,136.33,136.44,-0.11,13848600,35.15,33.48,1.67,190200,"24,992.36","23,851.02","1,141.34","750,430,000",31.75,32.03,-0.28,43183856,0.0,0.0,0.0,175350.0
