Date,Total Doses Administered,Daily Increase
2/14/2021,62208817,591203
2/13/2021,61617614,1471414
2/12/2021,60146200,2581404
2/11/2021,57564796,2402801
2/10/2021,55161995,2300779
2/9/2021,52861216,1971283
2/8/2021,50889933,1576249
2/7/2021,49313684,443403
2/6/2021,48870281,1298406
2/5/2021,47571875,2352054
2/4/2021,45219821,2342654
2/3/2021,42877167,2135058
2/2/2021,40742109,1693343
2/1/2021,39048766,1378368
1/31/2021,37670398,458218
1/30/2021,37212180,1016921
1/29/2021,36195259,1911845
1/28/2021,34283414,1958924
1/27/2021,32324490,1928897
1/26/2021,30395593,1659536
1/25/2021,28736057,1371300
1/24/2021,27364757,394485
1/23/2021,26970272,906038
1/22/2021,26064234,1625813
1/21/2021,24438421,1628538
1/20/2021,22809883,1600378
1/19/2021,21209505,1344694
1/18/2021,19864811,883525
1/17/2021,18981286,304579
1/16/2021,18676707,648484
1/15/2021,18028223,1255208
1/14/2021,16773015,1314788
1/13/2021,15458227,1322184
1/12/2021,14136043,1256981
1/11/2021,12879062,1069385
1/10/2021,11809677,250747
1/9/2021,11558930,508417
1/8/2021,11050513,1235051
1/7/2021,9815462,1168732
1/6/2021,8646730,1019791
1/5/2021,7626939,830222
1/4/2021,6796717,656327
1/3/2021,6140390,138561
1/2/2021,6001829,263940
1/1/2021,5737889,98193
12/31/2020,5639696,419522
12/30/2020,5220174,842233
12/29/2020,4377941,721091
12/28/2020,3656850,590281
12/27/2020,3066569,96605
12/26/2020,2969964,141787
12/25/2020,2828177,12632
12/24/2020,2815545,195714
12/23/2020,2619831,574444
12/22/2020,2045387,447177
12/21/2020,1598210,381416
12/20/2020,1216794,105037
12/19/2020,1111757,181649
12/18/2020,930108,415833
12/17/2020,514275,272256
12/16/2020,242019,159665
12/15/2020,82354,49631
12/14/2020,32723,4534
12/13/2020,28189,28189
12/12/2020,0,0
12/11/2020,0,0
12/10/2020,0,0
12/9/2020,0,0
12/8/2020,0,0
12/7/2020,0,0
12/6/2020,0,0
12/5/2020,0,0
12/4/2020,0,0
12/3/2020,0,0
12/2/2020,0,0
12/1/2020,0,0
11/30/2020,0,0
11/29/2020,0,0
11/28/2020,0,0
11/27/2020,0,0
