Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake
1/16/20,21.68,21.01,0.67,4918400,147.42,148.2,-0.78,6476000,35.75,32.25,3.5,692100,"29,131.95","29,297.64",-165.69,"252,110,000",38.7,38.53,0.17,16216422,44,84,44,26,77,15,61,36,38,0,0,22,0,12,76,15,0,5,33,5,32,4,42,90,4,0,60,21,59,28,29,44,13,63,63,22,25,50,45,7,66,51,68,45,1,0,17,43
1/17/20,21.5,20.62,0.88,3348400,148.41,149.17,-0.76,9083600,33.05,33.18,-0.13,615100,"29,313.31","29,348.10",-34.79,"321,820,000",38.49,38.43,0.06,23083970,44,76,21,27,67,13,59,35,33,0,0,23,0,12,43,14,0,5,42,4,34,3,41,91,4,0,52,22,69,24,27,48,17,64,64,7,7,50,37,8,83,50,61,39,1,0,19,44
1/21/20,20.79,20.94,-0.15,2089600,148.58,149.27,-0.69,9543900,33.79,36.54,-2.75,264500,"29,269.05","29,196.04",73.01,"320,640,000",38.31,38.27,0.04,23115696,50,82,50,27,79,16,71,39,45,0,4,42,0,12,49,14,0,21,41,5,29,5,48,86,4,0,66,28,59,33,26,43,15,72,64,27,36,51,44,8,65,54,77,49,0,0,17,40
1/22/20,22.08,21.97,0.11,10920700,146.7,148.25,-1.55,10305300,37.61,38.88,-1.27,318200,"29,263.63","29,186.27",77.36,"283,440,000",38.25,38.13,0.12,18097812,38,80,48,19,83,17,70,40,39,0,4,25,0,16,49,14,1,26,51,4,41,8,44,93,4,0,62,17,59,25,29,43,13,68,63,28,38,48,42,7,61,58,74,47,1,0,17,40
1/23/20,22.17,21.47,0.7,3663900,148.04,148.53,-0.49,8671900,37.21,36.7,0.51,192900,"29,111.02","29,160.09",-49.07,"307,060,000",38.13,38.62,-0.49,27148510,43,79,33,20,84,19,76,40,39,0,4,40,0,14,60,14,2,11,85,3,54,5,48,86,4,0,53,11,56,31,27,43,16,65,62,26,26,49,48,7,67,56,72,48,1,0,16,41
1/24/20,21.6,21.12,0.48,2947800,148.58,148.32,0.26,9051900,35.32,34.99,0.33,209700,"29,230.39","28,989.73",240.66,"380,010,000",38.84,37.78,1.06,34143698,52,78,42,22,75,16,72,38,37,4,0,37,0,13,70,13,2,16,90,5,43,6,45,92,3,0,53,24,65,22,25,47,19,60,55,11,15,46,38,8,68,50,58,36,1,0,21,45
1/27/20,22.1,22.74,-0.64,10294700,147.52,148.75,-1.23,7587100,33.24,33.2,0.04,120000,"28,542.49","28,535.80",6.69,"337,270,000",37.39,38.1,-0.71,31964026,48,82,22,24,80,18,60,40,44,0,11,29,0,13,49,11,1,10,54,5,25,7,39,83,3,0,51,16,58,23,55,46,15,67,63,27,30,48,55,9,55,55,73,52,0,0,18,39
1/28/20,23.5,22.36,1.14,5649300,148.46,149.5,-1.04,7336600,34.04,34.22,-0.18,165200,"28,594.28","28,722.85",-128.57,"330,140,000",37.31,36.19,1.12,70202408,44,86,41,22,86,17,63,44,48,4,15,19,0,12,61,12,1,5,53,5,18,5,45,90,4,0,56,14,56,28,44,43,15,65,63,28,36,49,53,9,55,58,75,48,1,0,17,38
1/29/20,22.23,20.55,1.68,4671900,149.45,150.54,-1.09,6288600,33.95,31.8,2.15,184200,"28,820.53","28,734.45",86.08,"302,290,000",36.17,35.65,0.51,34165726,48,85,21,25,84,21,61,44,52,0,0,28,0,12,58,13,1,32,54,5,47,5,45,91,4,0,66,17,58,33,33,42,14,66,63,29,33,48,42,10,66,56,75,44,1,0,17,39
1/30/20,21.05,20.99,0.06,3061800,150.03,150.36,-0.33,6470600,30.7,29.9,0.8,228600,"28,640.16","28,859.44",-219.28,"326,850,000",35.2,35.17,0.03,32316589,48,85,48,22,90,19,66,40,50,0,0,37,0,17,70,13,2,5,50,5,37,4,42,91,4,0,65,18,62,28,30,42,14,65,63,25,37,50,45,11,61,52,66,49,0,0,18,40
