Date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake
2020-01-24,52,78,42,22,75,16,72,38,37,4,0,37,0,13,70,13,2,16,90,5,43,6,45,92,3,0,53,24,65,22,25,47,19,60,55,11,15,46,38,8,68,50,58,36,1,0,21,45
2020-01-25,39,69,14,33,56,19,84,42,36,5,4,29,0,11,54,16,1,0,100,4,22,2,32,90,3,0,44,14,59,21,87,62,18,60,52,13,9,40,47,8,68,47,56,38,1,0,19,39
2020-01-26,38,69,41,23,55,16,61,39,38,4,8,39,0,8,45,16,1,0,72,3,22,2,31,83,3,0,55,14,50,28,100,58,14,65,59,21,29,45,55,9,63,50,68,45,1,0,18,38
2020-01-27,48,82,22,24,80,18,60,40,44,0,11,29,0,13,49,11,1,10,54,5,25,7,39,83,3,0,51,16,58,23,55,46,15,67,63,27,30,48,55,9,55,55,73,52,0,0,18,39
2020-01-28,44,86,41,22,86,17,63,44,48,4,15,19,0,12,61,12,1,5,53,5,18,5,45,90,4,0,56,14,56,28,44,43,15,65,63,28,36,49,53,9,55,58,75,48,1,0,17,38
2020-01-29,48,85,21,25,84,21,61,44,52,0,0,28,0,12,58,13,1,32,54,5,47,5,45,91,4,0,66,17,58,33,33,42,14,66,63,29,33,48,42,10,66,56,75,44,1,0,17,39
2020-01-30,48,85,48,22,90,19,66,40,50,0,0,37,0,17,70,13,2,5,50,5,37,4,42,91,4,0,65,18,62,28,30,42,14,65,63,25,37,50,45,11,61,52,66,49,0,0,18,40
2020-01-31,38,78,54,19,75,15,71,39,48,0,0,49,0,16,59,12,2,0,52,3,42,4,52,87,3,0,56,17,61,25,29,46,18,62,58,12,20,46,40,11,77,46,62,40,1,0,20,45
2020-02-01,38,69,24,26,57,21,66,41,44,0,0,29,0,12,42,16,2,0,59,2,43,3,35,78,3,0,60,11,72,31,28,51,17,65,55,13,11,51,46,18,60,46,51,40,1,0,20,39
2020-02-02,43,67,48,27,54,17,64,42,43,0,4,23,0,11,37,15,2,0,58,3,36,3,31,86,3,0,53,11,60,25,25,100,14,62,56,27,30,100,50,10,50,50,65,46,1,0,16,38
2020-02-03,44,81,46,23,78,18,62,41,48,0,3,46,0,14,58,10,2,10,41,4,39,7,41,71,3,0,76,22,50,28,27,48,14,69,61,30,36,58,42,9,55,56,77,51,1,0,17,40
2020-02-04,43,84,32,27,89,19,70,43,52,0,0,24,0,17,70,13,2,10,39,4,73,4,45,76,4,0,58,31,50,25,28,49,15,67,62,30,37,51,52,9,66,60,76,47,1,0,17,38
2020-02-05,38,85,45,25,86,19,63,41,52,4,4,57,0,22,54,13,2,0,40,4,54,4,48,85,4,0,56,30,55,31,28,46,14,67,63,30,36,49,53,9,69,52,79,45,1,0,16,40
2020-02-06,48,81,29,22,84,17,61,42,48,8,0,39,0,16,84,15,2,5,39,6,44,4,49,90,4,0,61,20,50,30,28,43,15,63,64,25,34,49,41,7,83,52,72,42,1,0,17,43
2020-02-07,45,71,33,22,77,17,69,39,46,4,7,34,0,12,66,13,3,11,47,5,45,4,45,87,4,0,60,27,59,24,26,50,18,61,61,11,11,47,37,8,72,50,61,39,1,0,19,45
2020-02-08,37,67,51,30,57,19,65,41,40,0,0,19,0,11,73,13,2,6,56,3,44,2,34,94,3,0,40,17,64,21,28,51,19,67,58,12,18,45,43,9,44,53,60,38,1,0,20,45
